gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000026880	0.023757344	0.12004985	-0.12372846	0.010381649	-0.00056473474	0.1332825
ENSMUSG00000028957	0.028133899	0.21634954	-0.07912193	0.109764054	0.034412835	0.14148691
ENSMUSG00000028825	0.09727165	-0.10996094	0.24446024	0.006965515	0.07179205	-0.01716956
ENSMUSG00000034501	0.031382076	0.23843002	0.015907345	0.16830483	0.014239595	0.12059043
ENSMUSG00000026463	0.03478736	-0.05056023	0.053561058	-0.008918563	0.030544922	0.021055978
ENSMUSG00000034614	0.19317788	-0.045079116	0.6329397	0.21140546	0.06635259	-0.03055767
ENSMUSG00000057098	0.023852894	-0.07390265	-0.0643411	0.09726525	0.02100317	0.00609859
ENSMUSG00000058587	0.039121334	0.26436138	0.08815753	0.0593584	0.042605277	0.17974897
ENSMUSG00000085866	-0.00072369265	-0.1264624	-0.16853869	-0.18466534	-0.0063781394	-0.113601245
ENSMUSG00000117694	0.19178101	0.3298286	0.63346815	0.32049286	0.11823743	0.15463293
ENSMUSG00000086336	0.13781276	-0.01066302	0.40838853	0.09716844	0.07765644	-0.04261649
ENSMUSG00000100583	0.13320616	0.25686216	0.44458148	0.28448582	0.10220106	0.14241488
ENSMUSG00000050565	0.08073526	0.4312392	0.33138272	0.2497414	0.094081774	0.21502446
ENSMUSG00000085303	0.03873034	0.12986378	-0.007779546	0.14395861	0.06490953	0.12350142
ENSMUSG00000042292	0.032799106	0.31030637	-0.028079303	0.14877231	0.033225957	0.21363197
ENSMUSG00000118257	0.05217236	0.32147983	0.23880054	0.29135275	0.091710515	0.19949518
ENSMUSG00000030483	0.018960139	-0.10306227	-0.17317982	-0.18662937	0.015275626	-0.11681866
ENSMUSG00000034452	0.04798678	-0.05554686	0.04407723	0.050344095	0.050539013	-0.06944987
ENSMUSG00000026646	0.04166905	-0.7381748	0.17133407	-0.22328964	0.08300091	-0.22776847
ENSMUSG00000086072	0.00876651	-0.14104718	-0.17339759	-0.114790775	-0.0036601736	-0.085598044
ENSMUSG00000087574	0.062986046	0.3198624	0.11024463	0.27173257	0.09968586	0.20605049
ENSMUSG00000087543	0.06236988	0.15365037	0.14551632	0.13225831	0.06514319	0.1296108
ENSMUSG00000097654	0.058549564	-0.091699146	0.06181198	0.051686957	0.04491838	-0.05272432
ENSMUSG00000022332	0.018712906	0.08650927	-0.15827169	0.04547055	0.03217914	0.19221032
ENSMUSG00000001804	0.0036963688	-0.1423189	-0.16442664	-0.21980965	-0.037285294	-0.11668619
ENSMUSG00000053110	0.049868964	0.33462405	0.12895946	0.2937636	0.093173675	0.20094213
ENSMUSG00000097627	0.13763121	-0.010931486	0.31857944	0.26201856	0.09977086	0.008676075
ENSMUSG00000025402	0.10062754	0.23828527	0.2040884	0.2593391	0.11001652	0.14272042
ENSMUSG00000086324	0.09396344	0.41226792	0.49737418	0.26024565	0.07728196	0.17944975
ENSMUSG00000096751	0.12769465	-0.08244271	0.42187944	0.242484	0.057056908	-0.030407049
ENSMUSG00000028410	0.112259775	0.46134377	0.45865303	0.30262646	0.0959898	0.20740809
ENSMUSG00000042747	0.07976192	0.20792992	0.19092144	0.14177369	0.07400747	0.181393
ENSMUSG00000086541	0.022337513	-0.11741392	-0.027128154	-0.28238115	0.06322899	-0.17757241
ENSMUSG00000031844	0.029863209	-0.07839035	0.027749795	-0.048204392	0.04206548	-0.03402183
ENSMUSG00000085156	0.32928738	0.37239084	0.93748814	0.35965034	0.10437086	0.17203633
ENSMUSG00000108414	0.31243512	0.43978843	0.89600855	0.3566767	0.11756069	0.20227517
ENSMUSG00000032481	0.05133285	0.42941636	0.18022788	0.2857387	0.058911625	0.22468376
ENSMUSG00000074781	0.0656244	0.50798357	0.24242824	0.3342847	0.12396082	0.22718075
ENSMUSG00000024120	0.046773225	0.4694932	0.17747828	0.16368571	0.04171965	0.2727923
ENSMUSG00000030796	0.06259528	0.22990209	0.2262469	0.19983152	0.07661964	0.12873724
ENSMUSG00000036339	0.02905702	0.3465683	-0.032070313	0.14205083	0.026377525	0.18281972
ENSMUSG00000023284	0.05641043	0.15961997	0.2320643	0.25098166	0.014369579	0.05863375
ENSMUSG00000044986	0.06007311	0.2697045	0.23320788	0.2366411	0.0833002	0.17005846
ENSMUSG00000017446	0.044788495	-0.07397344	-0.09378739	-0.11946756	0.058592945	-0.059462707
ENSMUSG00000060012	0.033902198	0.21877559	0.031644844	0.13872316	0.031404193	0.15240504
ENSMUSG00000050751	0.05190258	-0.09486146	0.19506662	-0.084156945	0.026454272	-0.07186429
ENSMUSG00000034557	0.031959068	0.27373537	0.010870129	0.20399344	0.002593828	0.17299135
ENSMUSG00000047193	0.025277814	0.35997456	-0.10028335	0.2487733	0.02526225	0.2622
ENSMUSG00000029658	0.04079403	-0.0833032	0.09006884	0.12707908	0.03831758	-0.038689755
ENSMUSG00000025451	-0.61765087	-0.61523527	-0.59706795	-0.28170833	-0.2142192	-0.27472806
ENSMUSG00000046997	0.030389693	0.1323623	-0.037676483	0.08400296	0.056707997	0.16744347
ENSMUSG00000116895	0.13388388	0.425694	0.65240675	0.29431814	0.06035139	0.11420159
ENSMUSG00000051224	0.024623485	0.3562029	0.21421567	0.2465465	-0.0050057913	0.1025594
ENSMUSG00000021188	0.024789184	0.27306473	-0.13811623	0.110989526	0.008637374	0.20886628
ENSMUSG00000020152	0.058305647	0.38095602	0.19798543	0.2801194	0.07404794	0.22356397
ENSMUSG00000064308	0.13902988	0.092418075	0.51272386	0.29689902	0.09196513	0.030815959
ENSMUSG00000028437	0.05170552	0.26754412	0.19402406	0.11158558	0.054802593	0.1634719
ENSMUSG00000052459	0.039482187	0.5313394	0.11054976	0.30001187	0.053466644	0.24432962
ENSMUSG00000045095	0.039514847	0.31983158	0.076919846	0.2518213	0.07036949	0.22404236
ENSMUSG00000086714	-0.61765087	-0.61523527	-0.59706795	-0.28170833	-0.2142192	-0.27472806
ENSMUSG00000019837	0.07482259	0.37143895	0.28155863	0.2893636	0.07005813	0.16187508
ENSMUSG00000022463	0.056154817	0.43878466	0.14150438	0.30586118	0.107080154	0.2231338
ENSMUSG00000001918	0.09062008	0.25647104	0.37996	0.26877478	0.090614796	0.13803147
ENSMUSG00000006313	0.15287079	-0.06841432	0.4518868	-0.033043038	0.00824359	-0.08997581
ENSMUSG00000041846	0.060396817	0.4972859	0.28470352	0.30290666	0.10222675	0.23322956
ENSMUSG00000020717	0.088927664	-0.073960654	0.37342072	-0.12574671	0.0048975707	-0.1260233
ENSMUSG00000059149	0.019569293	-0.0032111218	-0.04958721	-0.011846702	0.01039107	0.027925622
ENSMUSG00000108960	0.03732509	-0.11452819	-0.09061532	-0.21812801	0.015759138	-0.06579862
ENSMUSG00000062270	0.1118657	0.40647864	0.4421445	0.3057972	0.11309623	0.19051304
ENSMUSG00000032517	0.0711625	0.21522029	0.35938194	0.30644414	0.08656793	-0.014908636
ENSMUSG00000060679	0.029086785	0.22682805	-0.008321422	0.19232205	0.059291195	0.14012083
ENSMUSG00000016921	0.16900723	0.5417785	0.66272175	0.29230282	0.10363623	0.22738823
ENSMUSG00000032123	0.11453246	0.25900778	0.5615938	0.23827778	0.07992595	0.16106063
