gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000089989	0.3264245	-0.012047758	0.74558246	0.06508199	0.13127235	-0.013576646
ENSMUSG00000020492	0.07141445	0.37744147	0.30236652	0.24807015	0.07982071	0.23654105
ENSMUSG00000039263	0.055347737	0.086559065	0.07005718	0.08738022	0.055729344	0.11316839
ENSMUSG00000053286	0.04069705	0.3781551	0.093220256	0.2511903	0.054434255	0.24953549
ENSMUSG00000040489	0.03547467	0.14602256	-0.051070012	0.15067616	0.033289917	0.054220907
ENSMUSG00000030842	0.07211748	0.48848704	0.34106484	0.28728804	0.07185785	0.17113484
ENSMUSG00000017418	0.0996942	0.09950611	0.44407898	0.21940319	0.0683443	0.08426385
ENSMUSG00000028976	0.0645834	-0.021698298	0.21900457	0.07540656	0.052691225	0.00073832675
ENSMUSG00000084850	-0.0035715888	-0.08841859	-0.18451019	0.007497476	-0.07542433	-0.07412155
ENSMUSG00000061479	0.13081393	0.43094543	0.4808257	0.31925225	0.112850726	0.1852617
ENSMUSG00000042121	0.0698396	0.2384688	0.15993324	0.11912352	0.06904433	0.18690132
ENSMUSG00000022754	0.03582907	0.06879183	0.094212115	0.1959133	0.0015673286	0.008455626
ENSMUSG00000041355	0.12759471	0.2788328	0.46043625	0.2774383	0.10378099	0.17038071
ENSMUSG00000026171	0.042406972	0.19350323	0.23169103	0.076171406	0.030562473	0.15179092
ENSMUSG00000044950	0.060135566	0.31496957	0.2942404	0.23434798	0.06597059	0.14772233
ENSMUSG00000036019	0.017935611	0.13342237	-0.13796727	0.12010526	-0.033266194	0.1766509
ENSMUSG00000024811	0.050989132	0.3549406	0.13501228	0.32094407	0.10377608	0.20287739
ENSMUSG00000002949	0.036390595	0.43671033	0.30463317	0.25736207	0.035995122	0.18954226
ENSMUSG00000048402	0.046471104	0.20852928	0.049807183	0.26916796	0.07884726	0.18062891
ENSMUSG00000031171	0.033055287	0.22284704	0.3034386	0.2560342	0.063813224	0.10475139
ENSMUSG00000056962	0.06555245	0.4024177	0.14492004	0.2406648	0.09997036	0.2691052
ENSMUSG00000052861	0.022468112	0.051701132	-0.047526453	0.048068978	0.030668896	-0.0037696152
ENSMUSG00000024286	0.020578353	0.27352506	-0.18609844	0.09088138	0.03480064	0.24509953
ENSMUSG00000024376	0.06761662	0.3063374	0.36992687	0.23970465	0.07323554	0.19735594
ENSMUSG00000052234	0.04951033	-0.094014585	-0.03051483	-0.23915672	0.060272485	-0.08675513
ENSMUSG00000078502	0.044785865	0.0041573243	0.119374044	0.20220983	0.022746945	-0.04205963
ENSMUSG00000019891	0.0041075777	-0.4844091	0.21250892	-0.330544	0.09538658	-0.20624447
ENSMUSG00000039737	0.048577458	0.39392117	0.24301094	0.15228975	0.03385596	0.20619449
ENSMUSG00000036867	0.056676917	0.26737246	0.06774531	0.27481914	0.10214068	0.1680874
ENSMUSG00000003119	0.076551855	0.52028006	0.26023898	0.32082745	0.09898632	0.23470919
ENSMUSG00000028718	0.03460363	0.26538166	0.035833474	0.19997822	0.0144393705	0.1997789
ENSMUSG00000037669	0.019114729	0.16246292	-0.21500258	0.110466875	0.029078567	0.15404938
ENSMUSG00000029177	0.088254645	0.24944772	0.41124555	0.18344553	0.07130447	0.17951453
ENSMUSG00000028949	0.05102388	-0.02419412	0.043191507	-0.054839984	0.074798144	0.00576702
ENSMUSG00000054764	0.017751941	-0.03230015	-0.06005681	0.11239322	-0.013402014	-0.07216758
ENSMUSG00000030768	0.018242933	0.03913375	-0.13140313	-0.032969195	-0.0031298394	0.09205795
ENSMUSG00000021520	0.054800685	0.24069351	0.30633825	0.18670514	0.05339831	0.16081278
ENSMUSG00000112429	0.030176695	-0.19291289	0.01851113	-0.14151087	0.028091727	0.019741742
ENSMUSG00000024513	0.03425668	0.26686177	0.045584507	0.19529533	0.06771716	0.14820926
ENSMUSG00000062997	0.22928263	0.29828894	0.643801	0.29383764	0.12348242	0.19329306
