gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000049115	0.027149463	-0.21800578	-0.36389515	-0.15807523	-0.08472094	0.12981178
ENSMUSG00000024969	0.09928929	0.6771006	0.3390411	0.37655425	0.1472293	0.38679242
ENSMUSG00000074170	0.08249905	0.48263872	0.25374782	0.51844054	0.17875884	0.2991515
ENSMUSG00000112398	0.019961892	-0.20738016	-0.2980049	-0.33243036	-0.120972164	-0.333137
ENSMUSG00000061451	0.23710512	0.069156714	0.43719319	0.40713418	0.1708549	0.115621656
ENSMUSG00000085185	0.29667714	0.026319277	1.0020933	0.34616822	0.1361463	-0.029836157
ENSMUSG00000024524	0.06561317	-0.063549355	-0.08255647	0.011935979	0.111218855	0.1489222
ENSMUSG00000070298	0.103764266	-0.21023574	0.15190202	-0.30931875	0.0741595	-0.17716283
ENSMUSG00000085271	0.07128337	-0.0689501	-0.16879433	0.2329211	0.14572161	-0.0016668716
ENSMUSG00000035509	0.037188806	0.0940965	-0.32925925	0.04467606	-0.030516058	0.117217585
ENSMUSG00000116848	0.0118489945	-0.22588487	-0.3381345	-0.28654876	-0.110580765	-0.19984779
ENSMUSG00000023032	0.07856873	0.4003481	0.054973118	0.100188784	0.11556371	0.3066618
ENSMUSG00000052236	0.020287113	-0.2591148	-0.16732506	-0.32728416	-0.12220254	-0.17963357
ENSMUSG00000015316	0.009674365	-0.2372182	-0.3082639	-0.34400564	-0.1293963	-0.24452427
ENSMUSG00000084298	0.016025133	-0.3282523	-0.07263858	-0.45450354	-0.013666483	-0.17569186
ENSMUSG00000031981	0.03827067	-0.21557993	-0.17045575	-0.061099928	0.10994498	-0.102033615
ENSMUSG00000052760	-0.036609888	-0.17802574	-0.40511614	-0.14259742	0.13892798	-0.29024652
ENSMUSG00000108627	0.0075256834	-0.32204497	-0.28443703	-0.3472617	-0.050120164	-0.18256822
ENSMUSG00000096795	0.022592368	0.6574572	-0.2919339	0.3666853	-0.12386961	0.2880651
ENSMUSG00000000532	0.09319937	0.47005257	0.2345216	0.38418862	0.13380043	0.36107334
ENSMUSG00000031513	0.1366756	0.61370045	0.66952217	0.49292055	0.15392429	0.33843112
ENSMUSG00000055720	0.080473155	0.45230576	0.16809411	0.32135576	0.0636696	0.3404323
ENSMUSG00000031298	-0.040050447	-0.29496342	-0.39132687	-0.16980696	-0.13110365	0.13150537
ENSMUSG00000032808	-0.40262213	-0.24919094	-0.51680726	-0.26720762	-0.2207581	-0.4551469
ENSMUSG00000038797	0.109673016	-0.00097314717	-0.0777455	0.049844027	0.15937445	0.04847838
ENSMUSG00000005705	0.14001389	0.9066242	0.5019416	0.44252226	0.18189335	0.5132054
ENSMUSG00000051952	0.044204593	-0.23848322	-0.005515524	-0.16772369	-0.20427048	-0.34714547
ENSMUSG00000063600	0.0046886937	-0.3716976	-0.3422114	-0.1527237	-0.051723916	0.10489442
ENSMUSG00000031486	0.09676837	0.060880974	0.17314461	0.22754428	0.12749632	0.12971893
ENSMUSG00000002059	0.32443568	0.6041341	1.0328813	0.60559887	0.22903518	0.35123172
ENSMUSG00000061603	-0.03357458	-0.2546571	-0.4787988	-0.020830756	-0.027004074	-0.15197708
ENSMUSG00000021071	0.03317971	0.3057476	-0.3003136	-0.028403077	0.043660264	0.31216386
ENSMUSG00000087693	0.2069144	-0.19461392	0.7736316	-0.11465282	0.0050321147	-0.13798633
ENSMUSG00000090585	0.10303459	-0.21728292	0.09674901	-0.42052245	0.07765968	-0.1847284
ENSMUSG00000078440	0.19900073	0.72358143	0.8866406	0.50532657	0.18914805	0.40521723
ENSMUSG00000056917	0.18823968	-0.0037949607	0.2769221	0.05246176	0.17417112	0.042125884
ENSMUSG00000027209	0.043847937	0.47445253	-0.21420248	0.4480954	-0.13560024	0.28810057
ENSMUSG00000118173	-0.063028604	-0.29929313	-0.35410386	-0.34441575	0.077228986	-0.24223551
ENSMUSG00000109049	0.14119987	-0.081668355	0.36282244	0.22049238	0.1172022	-0.108813904
ENSMUSG00000011305	0.078500666	-0.032579083	0.30621657	-0.013436648	0.04659283	0.014126861
ENSMUSG00000018589	-0.05543613	-0.10814961	-0.5081837	-0.16994536	-0.15062222	-0.033852234
ENSMUSG00000058192	0.07811847	0.5620721	0.46530366	0.2820596	0.06664996	0.32393804
ENSMUSG00000072511	0.13940775	-0.15964472	0.4132914	-0.23826937	0.04563706	-0.13097335
ENSMUSG00000072568	0.11276073	-0.18276472	0.41021532	-0.042285416	0.107343405	0.10826693
ENSMUSG00000112244	-0.11044892	-1.2401323	-0.339572	-0.6207628	-0.33705857	-0.5004269
ENSMUSG00000027882	0.059571907	0.51766694	-0.049000483	0.3040613	-0.0011808138	0.29219362
ENSMUSG00000028834	0.14896609	0.1408925	0.3694341	0.40284392	0.13793887	0.12874673
ENSMUSG00000034041	0.23023373	-0.23018114	0.4285029	0.15435417	0.21077928	-0.07052328
ENSMUSG00000050103	-0.016334904	-0.2344541	-0.33449423	-0.36958262	-0.1274174	-0.31868422
ENSMUSG00000030278	0.11388868	-0.2174301	0.032410942	-0.37619457	0.06418078	-0.08831799
ENSMUSG00000115363	0.13375631	-0.13549739	0.60882777	0.13890234	0.090279415	-0.059941437
ENSMUSG00000027566	0.15188809	0.9663846	0.74842185	0.4646026	0.16904955	0.51903296
ENSMUSG00000017723	0.15971051	0.12181049	0.10379663	0.24303012	0.15509397	0.14719644
ENSMUSG00000110058	0.1137724	-0.19260643	0.68860954	0.15478912	0.10121289	-0.0007510297
ENSMUSG00000020135	0.16974479	0.21027967	0.36799693	0.4792252	0.17216384	0.028105104
ENSMUSG00000110474	0.13201253	-0.058084454	0.17152968	0.09895601	0.0879262	-0.15964785
ENSMUSG00000042903	0.13685478	0.20717247	0.6759475	0.3771558	0.10387849	0.22783636
ENSMUSG00000107538	0.006059533	-0.3067059	-0.23962963	-0.423877	-0.023716843	-0.20164113
ENSMUSG00000028487	0.09385369	0.54310566	0.19666773	0.5914891	0.13182588	0.3890148
ENSMUSG00000109976	-0.037315182	-0.31083024	-0.23105684	-0.51376724	-0.062355686	-0.28653687
ENSMUSG00000089961	0.07328576	-0.23151153	-0.07095525	-0.01294556	0.1053813	-0.05055761
ENSMUSG00000043635	0.026232775	-0.022186667	-0.2925941	0.26078293	-0.09131627	0.17590122
ENSMUSG00000111357	-0.032461215	-0.29284775	-0.3026721	-0.41628525	-0.08298904	-0.30492768
ENSMUSG00000032048	0.08041309	-0.04522205	-0.07833867	0.46806943	-0.008404389	-0.092453964
ENSMUSG00000114610	0.03375043	-0.16704339	-0.24589244	0.35120112	-0.01987137	-0.072110236
ENSMUSG00000028772	0.08667369	0.6489187	0.31925642	0.38039514	0.07966191	0.41887176
ENSMUSG00000032666	0.051702127	0.36235046	-0.23290308	0.24953665	0.023171166	0.37248927
ENSMUSG00000024667	0.106117114	0.4088137	0.5949586	0.30031413	0.09995347	0.26378736
ENSMUSG00000093387	0.07963087	0.48145247	0.27602354	0.4594069	0.12400072	0.23751654
ENSMUSG00000086655	0.055471327	-0.1386232	-0.19801694	0.15372871	-0.041325007	-0.1367464
ENSMUSG00000026409	0.2258747	-0.20468521	0.6575375	-0.24326038	0.091370344	-0.14735737
ENSMUSG00000040659	0.09771017	0.38167566	0.1347513	0.2628435	0.11443301	0.30831298
ENSMUSG00000022056	-0.028496776	-0.25115803	-0.3261653	-0.3901139	-0.14085625	-0.26048982
ENSMUSG00000093768	0.061123956	-0.2111825	-0.15338294	-0.3002242	-0.023933576	-0.21098408
ENSMUSG00000066319	0.06772368	-0.2525956	-0.0903716	-0.0875059	0.06021694	-0.07940662
ENSMUSG00000111763	0.0020077266	-0.2521207	-0.4485013	-0.3195861	-0.07845306	-0.27670288
ENSMUSG00000060548	0.099545375	0.16015562	0.15183619	0.32009664	0.101737365	0.060492657
ENSMUSG00000050552	0.11306325	0.66734785	0.47704667	0.5326608	0.027024593	0.24798037
ENSMUSG00000034361	0.059415545	0.33321562	0.081599325	0.20190181	0.0356127	0.18173282
ENSMUSG00000096199	0.083722204	0.7560093	0.81924194	0.48778525	0.09356175	0.29217473
ENSMUSG00000091698	-0.055860434	-0.1943244	-0.42276868	-0.14724195	-0.1397631	-0.24295013
ENSMUSG00000073409	0.06268969	-0.09933503	-0.25598007	-0.02123752	0.12024856	0.10214446
ENSMUSG00000094144	0.112937324	-0.08778214	-0.0904263	-0.11215276	0.059878495	-0.17690262
ENSMUSG00000084795	-0.057673644	-0.24433558	-0.36802244	-0.3094704	-0.16043232	-0.33472756
ENSMUSG00000079666	0.031133078	-0.29546827	-0.2799251	-0.42751577	0.07892957	-0.21400236
ENSMUSG00000037419	0.06014007	0.33549407	-0.19834444	0.265521	0.0057487884	0.25859183
ENSMUSG00000055333	0.052225865	-0.25671035	-0.26288188	-0.34397164	0.015354275	-0.14185773
ENSMUSG00000111097	0.009387336	-0.27662972	-0.43117288	-0.2670218	-0.061451092	-0.24092102
ENSMUSG00000110054	-0.029465968	-0.397006	-0.23151167	-0.46293756	-0.11015862	-0.21762191
ENSMUSG00000029095	0.06009252	0.3709532	0.14737669	0.1490713	0.094756804	0.3057915
ENSMUSG00000011837	0.08526887	0.6543584	0.56783694	0.31290722	0.10200146	0.2553545
ENSMUSG00000004110	-0.0015807141	-0.29498452	-0.24166669	-0.4661231	-0.00012999219	-0.25308478
ENSMUSG00000067813	0.043688573	-0.15837705	-0.32531285	-0.35499582	-0.07129292	-0.21586865
ENSMUSG00000050106	0.23816548	0.10027981	0.37367898	0.4412382	0.1856594	0.08815967
ENSMUSG00000086796	0.13744746	-0.20684004	0.31063226	0.13500413	0.14045474	-0.05892752
ENSMUSG00000097047	0.05375792	-0.38360038	-0.16570702	-0.3084226	0.034228012	0.029779052
ENSMUSG00000113302	0.03971094	-0.2589889	-0.35690057	-0.40451786	0.03287065	-0.21093705
ENSMUSG00000019823	0.11452755	0.14663693	0.41949877	0.52263725	0.15973003	0.16953738
ENSMUSG00000027187	0.073429294	0.3406477	0.09170683	0.39641932	0.080256626	0.22036475
ENSMUSG00000036492	0.31141484	0.08646356	0.82737446	0.16049653	0.16519563	0.085892096
ENSMUSG00000025534	0.11638327	0.27866495	0.40970495	0.2950277	0.10963696	0.17582671
ENSMUSG00000040260	-0.020979417	-0.3194769	-0.395243	-0.15079866	-0.09520248	-0.0037814565
ENSMUSG00000097040	0.03520086	-0.27688742	-0.28774542	-0.11684447	0.036308743	0.03857155
ENSMUSG00000086822	0.15665527	0.2768916	0.71983665	0.5822462	0.12515004	-0.07649516
ENSMUSG00000029716	0.11383161	-0.0700143	0.050542574	0.11826469	0.13600919	-0.040168937
ENSMUSG00000032064	0.067180015	0.029827455	0.01748174	0.038512442	0.10864632	-0.039373104
ENSMUSG00000102796	0.12681058	-0.20163186	-0.2853448	-0.41219115	-0.056230195	-0.22773954
ENSMUSG00000022472	0.078090936	0.6342739	0.18906362	0.3685059	0.042188663	0.455819
ENSMUSG00000046589	0.04498282	-0.0028736105	0.13515072	0.122268304	0.016998997	-0.036680132
ENSMUSG00000043740	0.091851614	-0.20171998	0.12330775	0.23996416	0.07388846	-0.020341195
ENSMUSG00000038517	0.14906783	0.4972594	0.3225131	0.45329344	0.18606576	0.31563836
ENSMUSG00000116371	0.09684282	0.584698	0.5301533	0.33490542	0.023511723	0.3371191
ENSMUSG00000106261	0.058675513	0.25969005	-0.07003702	0.10623133	0.084291056	0.25950015
ENSMUSG00000025207	0.09167486	0.08283283	0.18830445	0.12577322	0.1031708	0.1698513
ENSMUSG00000066704	-0.0040248693	-0.25434238	-0.35617033	-0.40307775	-0.050731838	-0.21927765
