gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter
ENSMUSG00000019777	0.082118325	0.7676387	0.41354182	0.4625424	0.13308086	0.3880015
ENSMUSG00000027243	0.09487876	0.9207373	0.45603493	0.47039953	0.09990589	0.5109317
ENSMUSG00000031701	0.1305981	0.96753186	0.53909034	0.58450913	0.17008206	0.46578428
ENSMUSG00000029217	0.043304864	0.18345973	-0.28672466	0.14039555	-0.009377306	0.24510634
ENSMUSG00000116743	0.15202716	0.8671258	0.7120697	0.55131793	0.19988039	0.4661484
ENSMUSG00000038816	0.14360581	0.4721378	0.54875964	0.43776637	0.14737785	0.29052144
ENSMUSG00000039953	0.120052785	0.37035808	0.36373135	0.25082684	0.11679212	0.33389792
ENSMUSG00000024905	0.011474849	0.5070133	0.14025807	0.44423103	-0.07148125	0.12610207
ENSMUSG00000059518	0.22231397	0.51878405	0.66364706	0.34898815	0.18319549	0.37904495
ENSMUSG00000020267	0.1887891	0.6531995	1.3453621	0.5290882	0.09864573	0.23310643
ENSMUSG00000038756	0.118963204	-0.044827837	0.39293632	0.10872466	0.07947441	-0.08494727
ENSMUSG00000032352	0.05634393	0.5007147	-0.15223202	0.40948084	0.12533846	0.41761544
ENSMUSG00000028517	0.2039296	0.25480652	0.8635391	0.31736037	0.10384293	0.2803494
ENSMUSG00000039200	0.105540484	0.39533764	0.34769237	0.32244286	0.11213449	0.23328537
ENSMUSG00000022913	-0.06722025	0.6940875	-0.20647158	0.55183464	-0.029272528	0.40988144
ENSMUSG00000055839	0.27751455	0.7614399	1.0353689	0.5721608	0.20927234	0.40739748
ENSMUSG00000024014	0.44419283	0.67011064	1.2879968	0.63678867	0.2754265	0.40407404
ENSMUSG00000071302	0.071817085	0.44282052	0.24086596	0.3177422	0.012800726	0.26910686
ENSMUSG00000024002	0.10766676	0.8364844	0.5283956	0.48929265	0.15537737	0.48135146
ENSMUSG00000025050	0.17854755	0.72294664	0.8568137	0.55372477	0.12905994	0.27737287
ENSMUSG00000028189	0.07281226	0.3651886	0.16226257	0.50595343	0.09722239	0.11661368
ENSMUSG00000054226	0.19425043	-0.2252141	0.7595542	-0.21466832	0.036649384	-0.23161142
ENSMUSG00000008028	0.12902935	0.70754445	0.41497767	0.47059393	0.1792733	0.3944239
ENSMUSG00000037876	0.1274983	0.21184342	0.2353088	0.25115404	0.11891171	0.22839126
ENSMUSG00000118030	0.15895286	0.6972192	0.80393744	0.49297872	0.033151302	0.3133213
ENSMUSG00000040785	0.055350564	0.8519762	-0.068532325	0.5101304	0.11766369	0.5158884
ENSMUSG00000024187	0.06360732	0.6083632	0.11210926	0.25619215	0.051980883	0.30069757
ENSMUSG00000061904	0.19192109	0.57029384	0.82808226	0.47183484	0.1664653	0.3356915
ENSMUSG00000051864	0.031106468	0.67817634	-0.3261529	0.25029835	-0.009030825	0.59132093
