	PolII mean gb	PolII mean promoter
ENSMUSG00000042849	-0.2267782714563557	-0.5463946661223615
ENSMUSG00000105011	-0.34668687437690804	-0.6505322673579544
ENSMUSG00000102999	-0.6988957595358993	-0.8643515685508162
ENSMUSG00000015342	-0.6223567627112953	0.39688878050047355
ENSMUSG00000000134	1.3544869324703745	0.4178751041198755
ENSMUSG00000094559	0.018098337969434535	-0.48092810932041435
ENSMUSG00000027007	0.4557213442075034	1.2726823781217909
ENSMUSG00000078622	0.6905640613981437	1.392393030438723
ENSMUSG00000085486	0.8377412548309253	-0.10158783695038552
ENSMUSG00000028653	0.7796761826887564	0.912185253050557
ENSMUSG00000121042	0.4923000783284603	-0.4008545469342914
ENSMUSG00000099758	0.2740767906547641	0.0007156906169483737
ENSMUSG00000105602	-3.7080337861068045	-2.6613055729597654
ENSMUSG00000005907	0.5552601134819225	1.1247057028403136
ENSMUSG00000029014	0.887193155752244	1.006755776425238
ENSMUSG00000049719	0.007070912184657793	-0.31229315860853823
ENSMUSG00000023050	2.040220588498309	1.071059667636406
ENSMUSG00000015133	-0.24173010982452578	0.17077327215324256
ENSMUSG00000027649	0.03687169874557056	-2.6613055729597654
ENSMUSG00000108315	-0.7971890750707781	-0.15855197879367205
ENSMUSG00000085895	0.08652390294474807	-0.37673572225360297
ENSMUSG00000020664	0.4536963600186303	1.0257897949126928
ENSMUSG00000027973	-0.4348636111787381	-0.5769392663623935
ENSMUSG00000029752	1.2228911823393769	1.1006895287792942
ENSMUSG00000053395	0.6679850737321726	0.03091877861418552
ENSMUSG00000022376	-0.3081657100727186	-0.11752703456840861
ENSMUSG00000013822	0.3798699126404078	0.8075331820429963
ENSMUSG00000020950	0.4311131492452429	0.17938014853387674
ENSMUSG00000024050	1.1350517968166816	0.5992627620674505
ENSMUSG00000022131	0.35494209980317587	0.8860523785593412
ENSMUSG00000103474	-3.278136924037289	-2.6613055729597654
ENSMUSG00000047248	0.47757186441721455	1.0283241796132392
ENSMUSG00000060477	0.3727543177324696	0.3880895642076272
ENSMUSG00000120159	-0.2461872489334192	-0.549978148433969
ENSMUSG00000038806	1.2369914966774942	1.4573725282541068
ENSMUSG00000087404	0.4286794703190456	0.14328656250599694
ENSMUSG00000018599	-3.278136924037289	-2.6613055729597654
ENSMUSG00000041670	-0.4200289905042398	-0.26013139916994676
ENSMUSG00000120309	0.0635989239489502	-0.18919927254511196
ENSMUSG00000029713	1.2634656183350939	0.5266908191433227
ENSMUSG00000097391	1.142840160559977	0.3976141513525455
ENSMUSG00000092620	-3.278136924037289	-2.6613055729597654
ENSMUSG00000097311	-0.3547585375912273	-0.534086608054135
ENSMUSG00000032841	0.22299583044038016	-0.4402214938516854
ENSMUSG00000086446	0.28062911038677296	0.15738709489253372
ENSMUSG00000037759	-0.38641832893975137	-0.34747112162871996
ENSMUSG00000106721	-1.3854014897492493	-0.7021331739685136
ENSMUSG00000072884	0.18490962757881235	1.2714725535226485
ENSMUSG00000027111	0.7886977480900413	0.8914796283810874
ENSMUSG00000091304	-0.15480576838491125	-0.5635389261656802
ENSMUSG00000116644	0.20866475446531682	-0.20715229758567627
ENSMUSG00000038267	-0.023185082805069934	0.4289051198511956
ENSMUSG00000110774	0.46820670622893457	0.09739618737144519
ENSMUSG00000090157	0.9064613256996416	-0.12853698311451464
ENSMUSG00000101981	-3.278136924037289	-2.6613055729597654
ENSMUSG00000022419	0.4773797575564897	0.9583116950388458
ENSMUSG00000056131	0.6006738379133102	1.141119100052589
ENSMUSG00000100279	-0.24208690590929835	-0.6064111217841659
ENSMUSG00000100286	-3.278136924037289	-2.6613055729597654
ENSMUSG00000087084	0.24693696544920607	0.019050124123588922
ENSMUSG00000057982	-3.278136924037289	-2.6613055729597654
ENSMUSG00000085871	-0.31412448313948554	-0.3223816915581311
ENSMUSG00000057098	-0.09378005655678844	0.40798809918264634
ENSMUSG00000041134	-0.24091778270682387	-0.0775318415622564
ENSMUSG00000024841	0.945167213243208	1.4347550373794868
ENSMUSG00000007867	0.2414250256563381	0.45090931613899465
ENSMUSG00000018585	0.743239343203966	0.8356110298293192
ENSMUSG00000060568	-0.02444942729156965	0.520402114983786
ENSMUSG00000086111	-0.0655334582979917	-0.4017157792496545
ENSMUSG00000112030	0.8980310864928979	-0.39041916007199223
ENSMUSG00000094887	-0.9439782530667541	-1.5229439576159773
ENSMUSG00000056870	-0.22474630162287537	0.5115776179565912
ENSMUSG00000029161	0.19422979015663133	0.3989414248017362
ENSMUSG00000075590	0.4811243340987038	0.4776364423438204
ENSMUSG00000115816	-0.4701621653675198	-0.5994985091202493
ENSMUSG00000100440	-3.278136924037289	-2.6613055729597654
ENSMUSG00000085077	-0.5124786154738666	-0.5323023474616361
ENSMUSG00000040728	0.3113247543866704	0.6417632297051807
ENSMUSG00000018547	0.6038421224358558	1.2611339705344418
ENSMUSG00000113694	-0.2718355865067141	-0.6199989185390101
ENSMUSG00000064264	0.8649023245791568	1.536546201214058
ENSMUSG00000032423	1.7238755583118504	1.6163426380339878
ENSMUSG00000011884	0.42525869613845185	0.8406418931530497
ENSMUSG00000093390	0.33492651306227034	0.9046054122345067
ENSMUSG00000026641	1.059766522296969	1.23536833132057
ENSMUSG00000075167	-0.6915919449091854	-0.8900866241192047
ENSMUSG00000113885	0.2638911382756371	-0.23885565357540608
ENSMUSG00000051557	1.6183543166104661	0.9508879313184218
ENSMUSG00000117324	-0.2468057594466326	-0.7472136391793102
ENSMUSG00000113778	0.6791628381796817	-2.6613055729597654
ENSMUSG00000030218	-0.317032037841574	-0.5855734545036034
ENSMUSG00000084335	0.2973584153493336	-0.3768721630323149
ENSMUSG00000112216	-3.278136924037289	-1.6865992890607315
ENSMUSG00000120017	-0.22514005882748198	0.7617989266548378
ENSMUSG00000109408	0.6432375946611919	1.2594637991899946
ENSMUSG00000053720	-3.278136924037289	-2.6613055729597654
ENSMUSG00000108320	1.2903764625801932	0.7314231784778387
ENSMUSG00000113665	0.20429838335908695	0.18434612127172562
