gene_id	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	NELFA mean gb	NELFA mean promoter	INTS11 mean gb	INTS11 mean promoter
ENSMUSG00000033857	0.039580233	0.003649782	0.024508063	0.014445034	0.0068076476	0.016485352	0.015410402	0.05757391	-0.02286315	0.033867136	0.0026047989	-0.00421473	0.045119785	0.046533015	0.044909827	0.029563174	-0.023747232	0.039535698
ENSMUSG00000016984	0.00795654	0.003981864	0.010171357	0.034376264	0.045937736	0.041799	0.029621184	0.06111167	-0.042145293	0.025436213	0.0015338692	-0.0043051075	0.06714787	0.072480686	0.017701734	0.049305234	-0.012348887	0.12584116
ENSMUSG00000038957	0.02564668	0.0069324006	0.014201019	0.021743773	0.03525273	0.04902887	0.021489011	0.05693926	-0.0042901402	0.017420867	0.010831561	-0.010688267	0.06158738	0.06266509	0.037777208	0.06928645	-0.024552638	0.076147765
ENSMUSG00000066278	0.03744788	0.011810527	0.023272038	0.010846833	0.041392542	0.032056216	0.032670278	0.061392836	-0.010411675	0.03928154	0.01079683	-0.002281843	0.06346132	0.06701205	0.04519241	0.056498084	-0.019515486	0.08605105
ENSMUSG00000032258	0.0145127075	0.0032310414	-0.0002547278	-0.020644672	-0.009643135	0.013684131	-0.022210779	0.053618763	-0.053688772	0.0047199205	0.008042566	-0.018523311	-0.006740244	0.06549365	0.019638045	0.048551682	-0.018474864	0.11040604
ENSMUSG00000087120	0.03364326	0.0016190108	0.012981151	0.039493952	0.042083032	0.07309775	-0.03692047	0.015778499	-0.0021091881	0.02867638	0.010731383	-0.004213207	0.027017986	0.047883578	0.035988327	0.1121862	-0.02207525	0.079984434
ENSMUSG00000113620	0.024679841	0.0073479894	0.00855474	-0.01596516	0.02762287	0.038710147	-0.010187776	-0.05276393	-0.017331693	0.033206817	0.012669257	-0.015525838	0.036027886	0.015480675	0.04092241	0.008114812	-0.017387092	-0.067656055
ENSMUSG00000051747	0.026834395	-0.0007625275	0.011426231	-0.0013362071	0.042632375	0.044161487	0.011527871	-0.03425111	-0.01228918	0.014351267	0.0075453115	-0.003767198	0.058201525	0.025458993	0.03393719	-0.0038388995	-0.015451773	-0.07054916
ENSMUSG00000023330	0.01734209	0.0022141912	0.0127388	0.024671089	0.034243453	0.059733484	-0.02152899	0.06585217	-0.04906713	0.0022251073	0.007676442	-0.010415749	0.047889203	0.05149427	0.023769425	0.0635414	-0.008758939	0.12154825
ENSMUSG00000027344	0.017432561	0.007861353	0.009703254	0.004840363	0.016029462	0.01105817	0.004620512	0.045559436	-0.018861784	0.027011307	0.006707869	-0.008311524	0.034463998	0.05327086	0.031829327	0.040893864	-0.02193903	0.030398415
ENSMUSG00000004668	0.017206071	0.028837131	0.0064809336	0.004416403	0.018187568	-0.002417558	-0.012249594	-0.06330124	-0.024555674	-0.036185116	0.005532162	-0.007210155	0.01285973	0.020986307	0.024193874	0.032808855	-0.014397514	-0.046765693
