gene_id	Pol2ser2 mean gb	Pol2ser2 mean promoter	Pol2 mean gb	Pol2 mean promoter	Pol2ser5 mean gb	Pol2ser5 mean promoter
ENSMUSG00000103827	0.36134633717375797	0.19583198854521383	-0.5317012868533233	0.6107706831764536	-0.565511113783317	0.6990557314938726
ENSMUSG00000058802	0.34931997017912586	-0.6217439220223299	-0.16247046640981044	-0.1251624340546649	-0.027731295337804187	0.1510189535782678
ENSMUSG00000061024	-0.5486247964804768	0.38971832648030874	0.8012137243408323	0.8468371478250397	0.5601774758696115	0.7560171390007225
ENSMUSG00000029370	0.37028110783079765	0.5424072370956078	0.05653525928507932	-0.05051191686741275	-0.01260486275894568	-0.13850530556056045
ENSMUSG00000102969	0.012321443235960778	0.24330183210632209	0.3748583773948144	0.2731585318146701	-0.7706254636784021	0.41984708806387255
ENSMUSG00000050382	0.5868020406202075	0.8557270607543779	0.5776535130161673	0.5605727346134342	0.5889981867681184	0.8730760009617016
ENSMUSG00000025498	1.2014543205794708	-0.016214104240648355	1.0514191961920747	0.30849280054701134	1.0346809598108981	0.16380757884904673
ENSMUSG00000066456	0.2540854723500185	0.3692606496396463	-0.06201295452547681	0.42611806545477643	-0.079746375329118	0.3862852990677269
ENSMUSG00000115249	0.8638698394211588	0.41619820498793186	0.6785313266239896	0.61897810679264	0.6128171460631326	0.6880670211658977
ENSMUSG00000029729	0.5945988661285847	0.2289142054354509	0.49839118519218617	0.9307120206578009	0.7340523358984219	0.6817157078527856
ENSMUSG00000059436	0.4546161901377594	0.7401537491732536	0.495046676800467	0.814481284332634	0.6313335030653063	0.6325989898468383
ENSMUSG00000078653	0.5391057141843513	-0.5394536026328184	0.43984913053636504	0.4403603212804938	0.3507795463678113	0.5051660259113789
ENSMUSG00000070841	-3.837266008654223	-3.208324826318515	-3.8945789802569006	-3.332043369634863	-3.6781436564538588	-2.9916993193683403
ENSMUSG00000115386	-1.2167705073236565	0.09432413410015157	-2.3769938389189855	-0.5485194080956216	-1.1453580692925678	0.5248330266565475
ENSMUSG00000033917	0.5402653731385637	0.8525611454346302	0.570660303600673	0.8083106769373911	0.6560727911861751	0.8825706527412757
ENSMUSG00000017858	0.4188798353244512	0.3595147570557659	0.4950959598336626	0.5667203121200972	0.5956279076669552	0.7666052661810295
ENSMUSG00000063163	0.282008680883514	-0.027058345059967664	-0.5282820287970306	-0.7909538998368811	0.31512938462191764	-1.5404211419095277
ENSMUSG00000070533	0.1315940876677416	0.3256100034911133	0.3112537547290285	-0.18125226509354628	-0.07543737372756244	-0.35925578969079613
ENSMUSG00000092365	0.769262036469627	0.38509401763961554	0.46796839474214	0.4198526080109401	0.6468488255732829	0.44324988952279265
ENSMUSG00000021751	0.19764332095306966	0.5273860399060507	0.12170667601884849	-0.019293452311303094	0.24289399433108763	-0.29045633747223204
ENSMUSG00000033027	0.43604824002490816	0.051477013569814926	-0.20567356612618387	-0.9663932768988606	0.3015535102199298	-0.7716057249812632
