gene_id	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	NELFA mean gb	NELFA mean promoter	INTS11 mean gb	INTS11 mean promoter
ENSMUSG00000079562	0.032256875	0.011069271	0.019905848	0.013872927	0.035745956	0.044675704	0.031544924	0.060887273	-0.0040261284	0.024237042	0.007839757	-0.0028996957	0.053935602	0.07262149	0.04404976	0.0431768	-0.018458242	0.098821186
ENSMUSG00000063626	0.021753019	0.0063528544	0.01200699	0.0129526	0.036039762	0.048955902	0.0012891063	0.058185406	-0.01684624	0.03617467	0.01077068	-0.01677444	-0.0047529694	0.06363431	0.018259425	0.06913699	-0.018131753	0.08078737
ENSMUSG00000098202	0.017555755	-0.012204291	0.009218076	-0.004676371	0.046933923	-0.03351986	-0.008077606	-0.048902597	-0.017642811	0.0071074334	0.013288651	-0.0055749766	0.03736765	-0.0012850832	0.038561795	0.014981597	-0.0151587175	-0.05229553
ENSMUSG00000036275	0.036256865	0.0053031933	0.02075578	0.025272237	0.054264035	0.06011419	0.024287006	0.07040326	3.2819516e-05	0.037738252	0.013401859	-0.0045100986	0.021287872	0.07150585	0.043185696	0.047920197	-0.01897762	0.09634254
ENSMUSG00000085334	0.037955333	0.015035484	0.019643685	0.010005398	0.06941824	0.03316686	0.043312054	0.016818764	0.005136895	0.03348038	0.018049888	-0.005697487	0.084062606	0.018735047	0.050039005	0.023363454	-0.01642318	-0.067244835
ENSMUSG00000039244	0.036303982	0.012314878	0.03238969	0.01728819	-0.0015605638	0.021814208	0.02293583	0.058305107	0.0014466936	0.028655956	0.00561728	-0.013557709	0.038331836	0.070109524	0.04147875	0.03776027	-0.022796704	0.091612004
ENSMUSG00000024436	0.043125387	0.012073787	0.014839379	0.030445695	0.030604504	0.06382387	0.014114718	0.045066066	0.0022852768	0.038859006	0.0060851434	-0.0031869735	-0.006627652	0.057415947	0.010492966	0.10845718	-0.00975896	0.063099295
ENSMUSG00000038534	0.031696543	-0.00039964737	0.023921253	0.0016259651	0.05716829	0.081364505	0.0518756	0.041374285	0.008036629	0.03171113	0.021467179	-0.012071038	0.07297171	0.039726462	0.05408252	0.034278363	-0.010948055	-0.026110146
ENSMUSG00000001100	0.028739592	0.014077003	0.018354515	0.031107645	0.05546466	0.0662157	0.02325146	0.07114064	0.0021729015	0.011088332	0.01674741	-0.0037918226	0.05464829	0.06533301	0.04143561	0.07530887	-0.02199205	0.08874195
ENSMUSG00000022219	-0.011330318	-0.017781882	0.0011490064	-0.0017691628	-0.08176027	0.00013453494	-0.01407744	-0.029421484	-0.045841306	0.009277824	0.009431518	-0.013365003	-0.0030069158	-0.0033372974	0.027755905	0.015336818	-0.020896938	-0.08014977
ENSMUSG00000075555	0.03712017	0.017897258	0.018548891	0.0058330772	0.06529851	0.057459325	0.040520277	0.006715284	0.0039824666	0.03336157	0.011039263	-0.011422045	0.06739722	0.022105478	0.05003099	0.030457664	-0.015898444	-0.056536935
ENSMUSG00000026803	0.033617128	0.015327868	0.021081943	0.013944155	0.06493021	0.04159594	0.04135467	0.061352376	0.0006513213	0.025685472	0.018473295	-0.0024761546	0.0709001	0.06005361	0.046837196	0.050367918	-0.021105835	0.07129024
ENSMUSG00000014633	0.034860585	0.009640235	0.026205158	0.01831675	0.052412882	0.021215705	0.008894268	0.06918998	0.00011175263	0.04376517	0.013590877	-0.008683367	0.05375741	0.070206404	0.040912386	0.0669029	-0.028956985	0.0951973
ENSMUSG00000030801	0.032348026	0.012653251	0.022218626	0.019932928	0.05717553	0.04488931	0.009672351	0.06427908	0.0024715608	0.0022213797	0.013430402	-0.010101471	0.06606924	0.06566975	0.039718747	0.06867293	-0.026953768	0.07432497
ENSMUSG00000052949	0.030137697	0.013041125	0.024339898	0.011466	0.045474365	0.033814423	0.033722337	0.061085038	-0.0032586744	0.02049013	0.012361902	-0.0036021837	0.065940514	0.07681263	0.04535123	0.07468557	-0.024100218	0.07889568
ENSMUSG00000021243	0.025241941	0.003784417	0.019557388	0.015722925	0.062630616	0.062910646	0.008757579	0.074385025	-0.009704966	0.03796942	0.016542938	-0.001482856	0.060495026	0.06123516	0.04000168	0.07191291	-0.017006725	0.09576444
ENSMUSG00000024974	0.026245974	0.010546915	0.014181762	0.030013012	0.054366603	0.015376798	0.030983627	0.058656868	-0.012136491	0.019272488	0.01134875	-0.005946837	0.06749636	0.07203051	0.035560437	0.08641461	-0.021321377	0.109104194
ENSMUSG00000071669	0.02536573	-0.18272147	0.01551576	0.023920368	0.017153041	-0.51977897	0.0075484477	-0.03148024	-0.006022948	-0.31084183	0.0049430905	0.032319676	0.012257723	-0.3547214	0.066674404	-0.21850647	-0.01918465	-0.0009645497
ENSMUSG00000009418	0.030250385	0.007906893	0.022220194	0.01695115	0.036420528	0.010904323	0.032017093	0.060303103	-0.0063818274	0.02860518	0.0103816	-0.0021867934	0.0664869	0.06997712	0.046575587	0.07120769	-0.02402144	0.091366924
ENSMUSG00000038593	0.038074445	0.0056065666	0.024846386	0.021605235	0.022147635	0.041634962	0.016014483	0.058920216	-6.877944e-05	0.03275209	0.008129176	-0.005729979	0.053125348	0.052009944	0.043948725	0.060408887	-0.02598947	0.019691283
ENSMUSG00000020387	0.03308232	0.00551136	0.02382934	0.018754097	0.04329939	-0.017634086	0.029920341	0.040436823	0.0006086636	0.007896486	0.010397988	-0.008002609	0.040070564	0.05706085	0.04596795	0.040046323	-0.0256097	0.012001997
ENSMUSG00000026749	0.035527512	0.007968103	0.022600595	0.012127969	0.039138667	0.029612698	0.04349387	0.05853857	-0.0052744253	0.026482154	0.01441423	-0.0012962533	0.06925845	0.064962104	0.048663136	0.048439924	-0.021281734	0.06227137
ENSMUSG00000092274	0.031682223	0.0028997762	0.012850846	0.012741854	0.06473075	0.043679982	0.050515912	0.009548095	0.0009515637	0.018456098	0.021827344	-0.01102577	0.0738771	0.0303087	0.049156073	0.040906727	-0.015099831	-0.011237534
ENSMUSG00000047248	0.030738562	0.016105687	0.021434393	0.01811445	0.042305276	0.08781861	0.016215207	0.0698885	-0.0025032037	0.027497213	0.010972637	-0.006331811	0.04461129	0.064932175	0.04213518	0.047977418	-0.020879831	0.10162069
ENSMUSG00000097785	0.01700998	0.010072373	0.016272292	0.018945983	0.014465649	0.025325378	0.017367683	0.035382643	-0.024199195	0.026998296	0.008597969	-0.008984233	0.045296192	0.05065864	0.040002853	0.07154982	-0.026504409	0.023304567
ENSMUSG00000061048	0.036948226	0.01620979	0.018913217	0.019969046	0.060118612	0.062365375	0.036388893	0.057039656	0.001808219	0.02076825	0.018490747	-0.0057216748	0.07086766	0.049674977	0.049173377	0.05230698	-0.026237937	0.04393792
ENSMUSG00000002129	0.038604572	0.011611873	0.027470145	0.012754438	0.0573866	0.030139776	0.018518986	0.06529773	-0.00039488997	0.03193004	0.013043139	-0.014292656	0.039798707	0.06766616	0.037358947	0.03891292	-0.020060416	0.092106536
ENSMUSG00000059540	0.032293037	0.007562738	0.021897314	0.017654965	0.0054143756	0.05614374	-0.018625371	0.069698505	0.0024755516	0.015931536	0.004499019	-0.0056688283	0.037833348	0.066322975	0.03377006	0.09388098	-0.017691046	0.08005773
ENSMUSG00000008140	0.0249191	0.014724611	0.032667562	0.015028331	0.017540019	0.07417326	0.016363148	0.060642418	-0.0063398317	0.032344516	0.016612854	-0.004803223	0.0023939474	0.06484896	0.04845811	0.06476421	-0.010323299	0.06933643
ENSMUSG00000021579	0.04679188	0.009594225	0.012831746	0.0042209458	0.032916788	0.0086286655	0.017630344	-0.037516322	0.006735492	0.020568423	0.0064899665	-0.01005563	0.043938637	-0.0057128803	0.048611116	0.02983648	-0.018028796	-0.04569113
ENSMUSG00000029735	0.009000979	-0.0020642572	0.00038300536	0.0327206	0.010699561	0.052498154	-0.008687884	0.05699325	-0.04047247	0.04168423	0.006294295	-0.0140140075	-0.003744932	0.074565	0.011393596	0.06435377	-0.008610408	0.13101485
ENSMUSG00000006445	0.037511237	0.024802431	0.017900106	0.016253972	0.047459178	0.06630165	0.037954528	0.027383173	-0.005751897	0.043464053	0.015972551	-0.004976241	0.06900488	0.03748027	0.047812745	0.057002805	-0.017272536	0.022218166
ENSMUSG00000029647	0.020576688	-0.0022259385	0.012840932	0.034209337	0.03972108	0.039584115	0.016187288	0.059476495	-0.014038809	0.036029477	0.010982795	-0.0055376696	0.04690675	0.07482398	0.032352928	0.10158816	-0.01920496	0.13012052
ENSMUSG00000073568	0.034841146	0.0010083339	0.013943221	0.010528735	0.041558236	0.049564376	0.021375362	0.032019246	0.0017966947	0.03109514	0.008869162	-0.014786472	0.05729141	0.023553172	0.04241123	0.037507735	-0.016102282	-0.045116
ENSMUSG00000020775	0.039567396	0.01275967	0.030093847	0.010671566	0.037808817	0.05523229	-0.0018474933	0.05670368	0.012781557	0.02167901	0.003902701	-0.008353374	-0.003300887	0.052791204	0.0416564	0.039030146	-0.0063937474	0.00888525
ENSMUSG00000016018	0.023443423	0.0055639553	0.014240185	0.026432667	0.050821748	0.06706885	0.010908443	0.058577936	-0.017935313	0.044160526	0.006538077	-0.006351446	0.06424748	0.0683768	0.031232499	0.07846034	-0.018382514	0.107838795
ENSMUSG00000003437	0.035228204	0.017388748	0.02379032	0.010106892	0.058233622	0.055771932	0.0051276917	0.07556791	0.0046703145	0.02230452	0.015085102	-0.0034915807	0.05405161	0.07019463	0.041537322	0.057013918	-0.009831865	0.09590218
ENSMUSG00000035901	0.033978518	0.004729048	0.021061663	0.009684973	0.050695464	0.03434856	0.032762747	0.06481009	-0.002652236	0.02456601	0.014082052	-0.0046205935	0.047174398	0.07630776	0.046232156	0.07368121	-0.023635795	0.08687364
