gene_id	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	NELFA mean gb	NELFA mean promoter	INTS11 mean gb	INTS11 mean promoter
ENSMUSG00000051237	0.03261889	0.0072141862	0.013419372	0.008535021	0.047724135	0.026689785	0.018010957	-0.031490132	-0.0017007815	0.024097634	0.0058341594	-0.007155344	0.06874333	0.02040506	0.046858277	0.016781418	-0.01711423	-0.060287986
ENSMUSG00000040044	0.019115958	0.005353166	0.012493803	0.018335668	0.058555376	0.026698375	0.016079731	0.06486881	-0.021205086	0.033127483	0.0128628975	-0.0026934415	0.054144662	0.0618156	0.033148266	0.097108714	-0.013603804	0.12838489
ENSMUSG00000037313	0.035437014	0.016316215	0.02100509	0.030878792	0.019385617	0.049521044	0.02436878	0.061354037	0.0031572923	0.013050419	0.0013699561	-0.004432845	0.051542126	0.07401099	0.0457667	0.07880877	-0.023424435	0.09857427
ENSMUSG00000073700	0.030657845	0.009895864	0.022526003	0.01783719	0.056571476	0.042813335	0.040869668	0.051133517	0.00069580635	0.018988268	0.00887007	-0.002913701	0.02170435	0.07696927	0.04731375	0.042657122	-0.017124228	0.06953539
ENSMUSG00000113246	0.03283438	0.017484728	0.015917696	0.0014544007	0.009919323	0.039959986	0.008277166	-0.060505223	-0.020200532	0.031898126	0.009121728	-0.005930464	0.04898647	0.023448061	0.055104937	0.02016488	-0.020871406	-0.03359856
ENSMUSG00000115620	0.023134893	0.008762867	0.011975678	0.0035342872	0.05934888	-0.016723027	0.013529938	-0.04096206	-0.00868792	0.027344495	-0.0014932274	-0.008260784	0.06200334	0.052965384	0.04916312	0.021343814	-0.015734985	-0.04889722
ENSMUSG00000040543	0.031740885	0.006423214	0.024963561	0.009255725	0.024190113	0.024613176	0.02135231	0.05145124	-0.009921161	0.013551276	0.00869279	-0.016605167	0.028883459	0.05553806	0.042687885	0.032204602	-0.026025796	0.026807917
ENSMUSG00000114089	0.029626086	0.013816319	0.013928062	0.009281234	0.027065994	0.018739711	-0.0031205188	-0.032866374	-0.010168958	0.021141179	0.0034574827	-0.005106479	0.028715052	0.017719397	0.043979328	0.017054468	-0.01770524	-0.059089325
ENSMUSG00000057880	0.03305053	0.018875415	0.021354407	0.008155051	0.04461598	0.050098184	0.03797855	0.06781579	0.00069602055	0.02930608	0.013951136	-0.003853138	0.063525185	0.050836742	0.04741366	0.057211433	-0.02619423	0.079778634
ENSMUSG00000029699	0.034919344	0.0126375565	0.021841858	0.0058899303	0.06396226	0.06623567	0.06230932	0.01032644	0.0046447427	0.032412805	0.023507163	-0.011530739	0.076433115	0.032852788	0.05305859	0.0291893	-0.0091785025	-0.057064805
