gene_id	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	NELFA mean gb	NELFA mean promoter	INTS11 mean gb	INTS11 mean promoter
ENSMUSG00000006056	0.03427238	0.015537396	0.018129114	0.005492263	0.041205138	0.032574188	0.012661053	0.03214326	0.005672477	0.019205818	0.012258087	-0.0042121266	0.056370664	0.040332448	0.043786295	0.04041989	-0.023205299	-0.015056418
ENSMUSG00000034342	0.028065417	0.0047827577	0.016293058	0.022381548	0.048273742	0.05406556	0.032007936	0.061300892	-0.005965426	0.019850124	0.0110926	-0.0032241144	0.060735773	0.07358413	0.03511252	0.059457432	-0.023037784	0.106255606
ENSMUSG00000063760	0.008912301	0.0022033944	0.0034461268	0.025234694	0.018930355	-0.0007867649	-0.032845665	0.056422617	-0.027799051	0.0054683164	0.0065423604	-0.027468368	0.0068391874	0.07319073	0.01833957	0.04300871	-0.0096667595	0.121441506
ENSMUSG00000020782	0.034968033	0.019863954	0.020482775	0.013193761	0.05670132	0.04814425	0.05190784	0.052869253	-0.002499068	0.017757528	0.019971184	-0.003988249	0.06772057	0.0670415	0.047769375	0.044728328	-0.019462619	0.06375151
ENSMUSG00000109704	0.04099689	0.019343656	0.024634657	0.012541733	0.060915552	0.04027156	0.050787278	-0.005046241	0.0026483643	0.024063779	0.02079578	-0.008370592	0.054222733	0.059677236	0.03244706	0.019558875	-0.02350573	-0.015388011
ENSMUSG00000108659	0.027424095	0.009435371	0.021244062	0.018704353	0.044301867	0.044373922	-0.026812857	0.06555148	-0.01003121	0.028989077	0.011323226	-0.015165897	0.036658544	0.062436674	0.03827908	0.08421151	-0.024887118	0.1206342
ENSMUSG00000073424	0.028551865	-0.0014707997	0.016569735	0.0046851914	0.018363545	0.004570594	0.04501274	-0.046128996	-0.011749417	0.019767348	0.010662697	-0.0008608438	0.07406286	-0.0055998764	0.042331915	0.012279325	-0.0134678725	-0.023225635
ENSMUSG00000103408	0.030206896	0.0035149415	0.018978123	0.035852082	0.06225547	0.06573956	-0.091768794	0.039310213	-0.016979406	0.022327468	0.00389833	-0.008150604	-0.008981527	0.06195575	0.015630122	0.099992774	-0.0037236179	0.08367686
ENSMUSG00000075520	-0.002211017	0.0037848412	0.0030507809	-0.009433135	0.022551939	0.0236003	-0.002149738	-0.05229507	-0.03801364	0.0085623	0.0003260411	-0.008305015	0.012808096	-0.02439969	0.0168099	-0.0010850107	-0.008820013	-0.058634475
ENSMUSG00000085675	0.0032765586	0.006762714	0.0059742765	-0.0023831562	-0.0033131337	-0.00031592022	-0.024394734	-0.03839303	-0.037549935	-0.010506171	-0.0017286876	-0.0061653764	0.030205231	-0.015299331	0.018330496	-0.018205553	-0.017266113	-0.074451536
