gene_id	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	NELFA mean gb	NELFA mean promoter	INTS11 mean gb	INTS11 mean promoter
ENSMUSG00000110649	-0.36757663	-0.06293006	-0.19444172	-0.15811898	-0.37931433	-0.32488692	-0.1385561	-0.035499517	0.27949798	-0.29856548	-0.10331654	0.13574265	-0.5207686	-0.46013987	-0.54065174	-0.53834313	0.27654386	-0.042220723
ENSMUSG00000004980	0.010166277	0.014389847	0.013170982	0.06332731	0.07082695	0.04090097	0.030465217	0.027528498	-0.029418733	0.01668233	0.0027064283	-0.0017567626	0.0395498	0.062322848	0.0096455645	0.13363385	-0.013687842	0.09046228
ENSMUSG00000028577	0.017301492	0.0045510503	0.0062770145	0.027825031	0.049686242	0.035456594	0.030778237	0.057537094	-0.019769022	0.04509101	0.009874558	-0.0053854873	0.030685928	0.070452385	0.018044068	0.08123193	-0.01650673	0.11389617
ENSMUSG00000040940	0.037634555	0.015055845	0.02732514	0.009436177	0.048869982	0.06963937	0.048230942	0.031198464	-0.0042752246	0.040578637	0.005784936	-0.004766106	0.06328453	0.047653776	0.047837254	0.028162029	-0.017948734	-0.0061893994
ENSMUSG00000042590	0.020836364	0.0083862655	0.014646196	0.027002456	0.04511018	0.036340244	0.018991679	0.056113306	-0.019462522	0.029427195	0.009943315	-0.009929347	0.04445665	0.068504654	0.028236551	0.097369924	-0.01965769	0.09896745
ENSMUSG00000042099	0.03599738	0.00048679172	0.018319692	0.010164598	0.06420487	0.032496326	0.038463287	0.044283506	0.0018579382	0.033715118	0.022245098	-0.008044782	0.06302312	0.05265157	0.04066498	0.044095468	-0.016929843	0.021079274
ENSMUSG00000055917	0.020959089	0.005772347	0.0143183395	0.036417127	0.038828224	0.057142425	0.020435827	0.06619533	-0.013578534	0.009342461	0.007679053	-0.010954246	0.030669346	0.076876886	0.036211994	0.11055383	-0.023579793	0.13865311
ENSMUSG00000021408	0.02815245	0.0035651156	0.0122871585	0.0014283851	0.04360164	0.03807345	0.0025758643	0.069769524	-0.0013826591	0.019179737	0.008893183	-0.00874779	0.042971928	0.06586391	0.027844619	0.08108135	-0.014147238	0.104909204
ENSMUSG00000018900	0.030842304	0.0077678133	0.021692872	0.014047173	0.039638724	0.03612279	0.011679045	0.07432462	-0.0033970103	0.015434427	0.010302394	-0.0040050987	0.042784464	0.068587855	0.035781328	0.080430694	-0.023319457	0.09173218
ENSMUSG00000032783	0.031208336	0.021314252	0.022757567	0.023887519	0.033742968	0.095228665	0.021043185	0.0647252	-0.004502751	0.031972915	0.009220747	-0.004751925	0.032710973	0.06162949	0.0417508	0.08619501	-0.020728996	0.07482748
