gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	DPY30 mean gb	DPY30 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	INTS11 mean gb	INTS11 mean promoter
ENSMUSG00000036748	0.04386876	0.1354001	0.1635754	0.10519484	0.01828539	0.031229263	0.0015127176	0.11670705	0.026146833	0.01127362	-0.009364427	0.06938646
ENSMUSG00000031842	0.06235548	-0.029500453	0.06082343	0.018036367	0.039579067	-0.04280191	0.056274097	0.06648717	0.027098998	0.009390166	0.029879564	0.03885351
ENSMUSG00000033964	0.050738662	0.1509442	0.030830512	0.15644628	0.0021187253	0.052245773	0.046720877	0.14190277	0.015244031	0.0074918526	-0.013697436	0.095631346
ENSMUSG00000025889	0.020940872	0.032174427	-0.017740015	0.068075605	-0.0075576482	-0.020410992	0.017835258	0.059978142	0.01151337	0.0066628475	-0.013397316	0.06671391
ENSMUSG00000027942	0.067244686	0.17783427	0.19313498	0.17898878	0.041471217	0.059829295	0.05954531	0.08121714	0.03170587	0.0031344572	0.022147963	0.059000716
ENSMUSG00000097216	0.020820433	-0.05584295	-0.07240637	-0.01718599	0.012498247	-0.010640249	0.015564938	0.056251075	0.0060703172	0.009208128	-0.014602753	-0.05671078
ENSMUSG00000097241	0.013760908	-0.0021301047	-0.0891913	-0.026616272	-0.027437776	-0.027700476	-0.0036735274	-0.0019338407	-0.0026346606	-0.011017708	-0.04147131	-0.073058106
ENSMUSG00000079507	0.031046242	0.022099478	-0.017856235	-0.01688573	0.005199216	-0.017005784	0.037704434	0.08262561	0.020312933	0.006940585	0.02872339	0.023317765
ENSMUSG00000026544	0.047470104	0.09849488	0.0086320555	0.09292348	0.014268047	0.016047677	0.05881838	0.08461757	-0.01339039	0.008367917	0.02488556	0.072314136
ENSMUSG00000090635	-0.5124751	-0.44573635	-0.2023511	-0.4064927	-0.004059461	0.07284546	-0.5200033	-0.7023215	-0.214351	-0.022742586	-0.06479163	-0.12651733
ENSMUSG00000116389	-0.5095224	-0.4367706	-0.20112677	-0.41191345	0.0012803948	0.087425135	-0.52838147	-0.70309603	-0.21753803	-0.036121137	-0.0649315	-0.12830073
ENSMUSG00000045211	0.057629548	0.07450058	0.02782383	0.062462308	0.031835254	0.004323089	-0.001842636	0.10346739	0.0029211198	0.014947411	-0.023390012	0.082545586
