gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	DPY30 mean gb	DPY30 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	INTS11 mean gb	INTS11 mean promoter
ENSMUSG00000054280	0.043006975	0.12761019	0.055345464	0.13992174	0.0136560425	0.053012885	0.052506946	0.08321917	0.024653934	0.0104188	0.014866247	0.045921896
ENSMUSG00000071866	0.10509437	0.20248128	0.46733898	0.17273813	0.06283296	0.023583082	0.04424426	0.06982898	0.025288155	0.0003963555	0.0011684216	0.07221325
ENSMUSG00000070695	-0.0015887172	-0.057473175	-0.083284885	-0.039369933	-0.012452688	-0.02579391	0.001969161	-0.045981623	0.0007866158	-0.0027277102	-0.035537437	-0.03865502
ENSMUSG00000028664	0.04540428	0.13077225	0.053465135	0.08056534	0.0064680297	0.072643384	0.05684849	0.095379844	0.021625657	0.00083122833	0.019348627	0.059813008
ENSMUSG00000030275	0.046435777	0.18017691	0.15318112	0.19274837	0.023836398	0.06811347	0.07319159	0.0886019	0.028178934	0.0020717764	0.02108216	0.05570351
ENSMUSG00000031066	0.021946074	0.14052585	0.15145989	0.13087682	0.025892438	0.003563351	-0.023525443	0.10235979	0.005295793	0.007089695	-0.011694607	0.09833016
ENSMUSG00000037605	0.026508559	-0.05828162	-0.032532413	-0.018144505	0.0017652593	-0.021007977	0.010255246	0.063456126	0.006116479	0.005335538	-0.027651789	-0.020347146
ENSMUSG00000019254	0.02680592	0.15520857	-0.016602686	0.08693489	0.014670891	0.07562785	0.046594206	0.102495395	0.019204501	-0.00054675015	0.015765846	0.09249398
ENSMUSG00000067724	0.05176378	0.028947448	0.08135567	0.01793853	0.014456587	0.011200079	0.05332578	0.080985665	0.021143131	0.0044122203	0.02488954	0.039037015
ENSMUSG00000019817	0.03824262	0.0321476	-0.025625288	-0.03507124	-0.0074920943	-0.081451364	0.038816668	0.07560199	0.015111342	0.0113400705	0.017623078	0.04107677
ENSMUSG00000005204	0.061102454	0.20932184	0.16449484	0.1566055	0.043982014	0.027782721	-0.021429708	0.099817485	0.0138197765	1.8610346e-05	-0.008447485	0.019353142
ENSMUSG00000034295	0.006995381	0.10426127	-0.024636975	0.14783865	0.001511554	0.07019776	0.042027295	0.11616568	0.01834208	0.0054604653	0.015047647	0.0769821
ENSMUSG00000024976	0.04175852	0.18476352	0.024410434	0.15244308	0.018135536	0.06329859	0.0516365	0.10699017	0.018035566	0.0069053285	-0.0007770498	0.088539876
ENSMUSG00000043252	0.053696387	0.15893102	0.15916252	0.15373941	0.023478398	0.06154007	0.05163048	0.11784697	0.019501943	0.0006266018	0.01489834	0.07743806
ENSMUSG00000035623	0.044846743	0.19309004	0.060502622	0.15651307	0.0146491295	0.090512805	0.06504565	0.10911403	0.020835644	0.005276401	0.013577101	0.087231636
ENSMUSG00000031985	0.043767557	0.16695978	0.08993249	0.1811792	0.015365459	0.08592954	0.0477065	0.11825101	0.026530934	0.0023983784	0.02289131	0.097408965
ENSMUSG00000038740	0.031768817	0.043602534	-0.011890693	0.052122742	0.009339984	0.016158123	0.042610515	0.0888998	0.02007042	0.003854058	0.019898415	0.06346671
ENSMUSG00000038538	0.04010691	0.20539683	0.042115778	0.13742377	0.005289099	0.09051822	0.05231902	0.12817283	0.021773221	0.0064833583	0.005276536	0.097142
ENSMUSG00000026781	0.041861292	0.17226331	0.0150951175	0.16094525	0.018456107	0.050801232	0.033330813	0.103646055	0.017267345	0.008106024	0.008634962	0.062129505
ENSMUSG00000021877	0.056006957	0.1822386	0.080801494	0.16174793	0.021608016	0.062647395	0.04196118	0.11120445	0.022880124	0.004845867	0.0042621484	0.08737155
ENSMUSG00000021692	0.053147428	0.18327478	0.24154876	0.10724339	0.0099474685	0.08582173	0.05384266	0.11364438	0.026347224	0.008000905	0.004632185	0.09014745
ENSMUSG00000018581	0.016690278	0.014454206	-0.06427669	0.0014136434	-0.018522207	-0.017526444	0.021349195	0.06117144	0.008020433	0.0008999747	-0.0041518165	-0.00040883126
ENSMUSG00000031388	0.043391977	0.13770805	0.12411819	0.15244484	0.024772417	0.015302948	-0.013364319	0.12843901	0.0046277614	0.0049213823	-0.016198127	0.0850655
ENSMUSG00000005667	0.04151531	0.12595901	0.18241411	0.14564049	0.016255986	0.031950656	0.05694727	0.096447565	0.024419406	0.0018117324	0.011726687	0.07363713
ENSMUSG00000038732	0.011496915	0.021889552	-0.09707235	0.037253756	-0.031197274	0.021153582	0.012302347	0.06762022	0.012747968	0.008382448	0.00952063	0.10492587
ENSMUSG00000038718	0.033194218	0.17748003	-0.0010952796	0.14387798	0.0046515744	0.0647857	0.041585058	0.13052246	0.021724874	0.0067472174	0.0014075501	0.07415062
ENSMUSG00000079215	0.04004386	0.17830114	0.024165422	0.14293884	0.014658036	0.08006314	0.04074483	0.12997505	0.022475688	0.004474838	0.009051534	0.10117001
ENSMUSG00000063455	0.03702738	0.076340854	0.019658364	0.10723179	0.005788871	0.027100133	0.04499152	0.102884874	0.018323885	0.0034141205	0.022939235	0.06512237
ENSMUSG00000055799	0.053689945	0.13724446	0.10492212	0.18635027	0.02775721	0.070038214	0.0643871	0.104042806	0.024797209	0.0029916873	0.02377658	0.07065876
ENSMUSG00000056228	0.04250208	0.14081073	0.044016875	0.11276171	0.014200556	0.042754993	0.038724113	0.07907413	0.026564801	0.007299921	0.024796253	0.028174523
