gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	DPY30 mean gb	DPY30 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	INTS11 mean gb	INTS11 mean promoter
ENSMUSG00000026088	0.03833904	0.1550922	0.0645437	0.14980528	0.013943457	0.06695615	0.036048066	0.12329044	0.017329536	0.007778766	0.0169459	0.07816963
ENSMUSG00000091387	0.035491183	0.07105099	-0.007589906	0.08511665	-0.0027707536	0.023531785	0.054102033	0.10222858	0.015264335	0.0037964901	0.022493448	0.08261123
ENSMUSG00000036144	0.0191213	-0.028360587	-0.073287286	-0.022058362	0.015587127	-0.013755281	0.018458033	0.02489686	0.005851222	0.01173049	-0.025111312	-0.01019842
ENSMUSG00000096768	-0.5079375	-0.443366	-0.21151653	-0.4026644	-0.010925911	0.09169347	-0.5233811	-0.70159835	-0.21600908	-0.025747778	-0.06928461	-0.12825882
ENSMUSG00000029120	0.033800356	0.0043108524	0.00074546353	0.007493628	0.012409246	-0.00060834846	0.049265478	0.06384128	0.018210946	0.0069286525	0.03605039	-0.008453278
ENSMUSG00000030609	0.04348673	0.16165788	0.20796688	0.13693422	0.025709169	0.07075343	0.03119114	0.096639216	0.021897035	0.0020192023	0.018709864	0.09066601
ENSMUSG00000045103	-0.046254657	-0.12517619	-0.037478846	-0.030405313	-0.008377134	-0.024588073	-0.05290293	-0.08385932	-0.016298251	-0.033649232	-0.059541456	-0.08790314
ENSMUSG00000043015	0.037502855	0.12736288	0.07069555	0.15448707	0.0011284689	0.031566553	0.057926312	0.089163706	0.026221324	0.007491576	0.01931068	0.06972435
ENSMUSG00000028066	0.04249925	0.18508725	0.16059154	0.17476289	0.016792607	0.063307956	0.058802947	0.101634085	0.02547959	0.0010676294	0.016642546	0.08694352
ENSMUSG00000005892	0.061560676	0.068936124	0.39520454	0.1309618	0.03740965	0.0133208	0.05024912	0.052062437	0.01796852	0.011026812	-0.004564781	0.044522483
ENSMUSG00000040749	0.048964284	0.22052257	0.19056328	0.1419018	0.028768864	0.033678245	0.035209965	0.11097684	0.005053913	0.0053515043	-0.012821071	0.097539455
ENSMUSG00000041189	0.059229378	0.10843408	0.067966565	0.06533579	0.013805238	0.019461049	0.059868157	0.06402445	0.023678552	0.0039267656	0.022754984	0.02406058
ENSMUSG00000058200	-0.025346797	-0.07047709	-0.08526906	-0.084507525	-0.013704033	-0.04330591	-0.04875445	-0.04982151	-0.04101733	-0.020712566	4.6300556e-05	-0.070044816
ENSMUSG00000091586	0.039604276	0.08172931	0.029284084	0.12114147	0.01849372	0.02381033	0.06294115	0.08603327	0.017442327	0.0063588894	0.019183539	0.08209252
ENSMUSG00000074364	0.07348141	0.028603358	0.08286134	0.0063456404	0.037816823	-0.022940654	0.060795557	0.04592875	0.025798954	0.00864951	0.036665253	-0.022526525
ENSMUSG00000074220	0.037376065	0.112754025	0.060884386	0.14656115	0.01621737	0.05312431	0.06505807	0.1048302	0.022749431	0.006674292	0.00763116	0.0882081
ENSMUSG00000029110	0.05144563	0.2342359	0.2500093	0.1758133	0.03670839	0.07731692	0.05249693	0.10775763	0.018258976	-0.003645772	0.007466973	0.09750634
ENSMUSG00000035000	0.02440828	0.020650595	-0.039552633	0.055165425	0.0057728947	0.0160328	0.036933504	0.06077067	0.016707173	0.006471231	-0.0030576005	0.08442788
ENSMUSG00000027520	0.051354744	0.11939305	0.037098285	0.0892887	0.014810906	0.04349508	0.057706952	0.10550438	0.018439688	0.004259098	0.0073280474	0.07316946
ENSMUSG00000031559	0.011167416	-0.08014113	-0.03480166	-0.107301496	-0.024464302	-0.03538584	-0.006675662	0.0050349142	0.018150484	-0.006017153	-0.007866966	-0.03306581
ENSMUSG00000028047	0.066613205	0.12562832	0.14123291	0.16931698	0.040313814	0.013691844	0.043287106	0.06578806	0.018169839	0.0014354842	0.012350593	0.012084824
ENSMUSG00000102979	0.043664493	-0.0599908	-0.02312487	-0.08574271	-0.01398333	-0.028800787	0.02806745	-0.044472918	-0.022306433	-0.010261081	0.021232257	-0.040134355
ENSMUSG00000055978	0.051883653	0.006137576	0.061879437	0.00996163	0.009489318	-0.04939118	0.066805206	0.03068115	0.026333058	0.0068099983	0.02998823	-0.002621918
ENSMUSG00000118419	0.04340788	-0.018635288	0.010627976	-0.016045986	-0.003967394	-0.045901876	0.066411324	0.047109686	0.016419834	0.01151279	0.033899404	-0.01111927
ENSMUSG00000054901	0.04164939	-0.047005102	-0.027135745	-0.06436288	0.009658842	-0.049157374	0.04716816	-0.003540769	0.016121311	-0.0022453985	0.022313965	-0.044193435
ENSMUSG00000087458	0.026665648	0.123085976	-0.025144242	0.16402693	0.016813112	0.025729248	0.030927828	0.11425873	0.014678125	0.007177525	-0.022363408	0.08395091
ENSMUSG00000098004	0.030382138	-0.5450069	-0.014197355	-0.49582	0.0014129858	-0.016342439	0.06353515	-0.26761097	0.021613073	-0.08748806	0.042940687	0.0024513053
ENSMUSG00000026874	-0.028968683	-0.033277363	-0.13498516	-0.052886117	-0.011348271	-0.051879648	-0.0026408257	-0.005823837	-0.0076264786	0.0036132173	-0.012140762	-0.047944386
