gene_id	PolII mean promoter	PolII mean gb	Pol2 mean promoter	Pol2 mean gb	Pol2ser5 mean promoter	Pol2ser5 mean gb
ENSMUSG00000074981	0.2670683333333333	0.2323656666666666	0.740078	0.560861	0.78841	0.433186
ENSMUSG00000074987	4.009823333333333	0.5151906666666667	1.50191	0.793335	1.89816	0.508074
ENSMUSG00000074991	0.1768483333333333	0.2860583333333333	0.57742	0.444813	0.0795521	0.441854
ENSMUSG00000074994	20.139766666666667	2.419493333333333	2.12828	0.974809	2.92474	0.96506
ENSMUSG00000074995	0.200755	0.1840746666666667	0.262463	0.558185	0.477312	0.230586
ENSMUSG00000074996	0.1679743333333333	0.1565643333333333	0.577419	0.246825	0.477312	0.549345
ENSMUSG00000074997	0.4380496666666666	0.856348	0.584327	0.798049	0.506395	1.00718
ENSMUSG00000074999	0.3612516666666667	0.2520026666666666	0.708996	0.711041	0.39776	0.2604
ENSMUSG00000075000	10.978646666666668	1.63393	1.78669	0.957479	2.89651	0.92535
ENSMUSG00000075002	0.1811813333333333	0.216426	0.387478	0.520419	0.39776	0.276222
ENSMUSG00000075010	0.1572074	0.2078253333333333	0.788772	0.509684	0.669304	0.460853
ENSMUSG00000075012	5.200256666666667	4.603763333333333	1.36654	1.25051	1.34083	2.01196
ENSMUSG00000075020	1.472293	0.5875216666666666	0.684132	0.697909	0.715969	0.584964
ENSMUSG00000075023	0.3138653333333334	0.529282	0.941212	0.880717	0.481081	0.943517
ENSMUSG00000075025	0.2681593333333333	0.538768	0.629912	0.686692	0.424426	0.634315
ENSMUSG00000075027	0.54195	0.5025916666666667	0.786699	0.742258	0.409315	0.478523
ENSMUSG00000075028	5.78924	0.6310600000000001	2.35985	0.846275	3.23528	0.668561
ENSMUSG00000075033	8.59907	0.667707	2.04305	0.482284	2.68319	0.510855
ENSMUSG00000075040	5.045380000000001	3.4651266666666665	1.46713	0.926092	2.0799	1.03618
ENSMUSG00000075042	0.2271583333333333	0.1942513333333333	0.262462	0.164909	0.318208	0.249918
ENSMUSG00000075044	0.1811091	0.1622536666666666	0.361233	0.394593	0.363984	0.398
ENSMUSG00000075046	0.01	0.01	0.01	0.01	0.01	0.01
ENSMUSG00000075054	10.904646666666666	1.7897366666666663	1.84525	1.00428	2.84028	0.948898
ENSMUSG00000075061	0.2006103333333333	0.2563016666666666	0.578455	0.561967	0.795521	0.398482
ENSMUSG00000075062	0.3115873333333333	0.205591	1.01731	0.789926	0.328874	0.395096
ENSMUSG00000075063	0.2378953333333333	0.1856053333333333	0.826414	0.650268	0.45998	0.608651
ENSMUSG00000075064	0.2082473333333333	0.1970816666666666	0.816744	0.597794	0.256433	0.461044
ENSMUSG00000075065	0.2145359999999999	0.214641	0.555317	0.422477	0.362651	0.592047
ENSMUSG00000075066	0.1810916666666666	0.2774066666666666	1.00461	0.529293	0.474646	0.222743
ENSMUSG00000075068	0.01	0.01	0.01	0.01	0.01	0.01
ENSMUSG00000075069	0.1730623333333333	0.1824712666666666	0.262463	0.364291	0.159104	0.266714
ENSMUSG00000075070	14.089933333333336	0.4374713333333333	2.29384	0.660003	3.40355	0.606062
