gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	DPY30 mean gb	DPY30 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	INTS11 mean gb	INTS11 mean promoter
ENSMUSG00000059588	0.030337	-0.006639216	-0.066590734	-0.03794043	-0.034687724	-0.05960532	0.025441268	0.051382978	0.009930068	0.008095632	-0.018240442	-0.008152223
ENSMUSG00000047636	0.038012814	-0.018061357	-0.012884276	-0.06162152	0.01033244	-0.044415355	0.06132715	0.047925204	0.011130887	0.00559803	0.038031146	-0.03214563
ENSMUSG00000109193	0.03288456	0.017453557	0.0026348252	0.13348432	0.006778764	-0.030318042	0.044299513	0.07424153	0.023141213	0.0051657013	0.019916395	0.049983732
ENSMUSG00000006218	0.042667344	0.011746375	0.026386676	-0.0052556507	0.016831972	-0.00020087432	0.05945839	0.07516485	0.016271677	0.0077214614	0.02703773	0.022839446
ENSMUSG00000049882	0.060850106	0.1169958	0.052673202	0.08249005	0.02817753	0.019103264	0.0029284968	0.14220709	0.015897937	0.007848965	-0.042463053	0.11081161
ENSMUSG00000071165	-0.014519957	-0.098421425	-0.03228665	-0.09279322	-0.03030842	-0.035457384	-0.027796792	-0.07322707	0.025664987	0.004203877	0.05722616	-0.025038347
ENSMUSG00000023216	0.019829558	-0.04855148	-0.032954607	-0.06160293	-0.013491733	-0.04145817	0.045161277	0.018520482	0.020202309	0.005861494	0.011842362	-0.021318933
ENSMUSG00000029641	0.058958165	0.07840372	0.007392424	0.10080152	0.024038557	0.021234315	0.03822446	0.106651336	0.0037371626	0.007221089	-0.005211854	0.06336272
ENSMUSG00000022020	0.0443978	0.16715139	0.075827666	0.114255615	0.010995375	0.026969215	-0.011358892	0.14694229	0.0063752616	0.003569501	-0.023326635	0.095772326
ENSMUSG00000048429	0.06847578	0.2036628	0.1591014	0.14168943	0.032702524	0.037302863	0.0034842785	0.12040602	0.018534211	0.0029513605	-0.013788354	0.08323764
ENSMUSG00000121687	0.029098453	-0.044925496	-0.054800663	-0.008799461	-0.018734548	-0.0062315105	-0.07043804	-0.027157905	-0.014259005	-0.010543682	-0.028346881	-0.060260154
ENSMUSG00000095318	-0.5173174	-0.4337425	-0.20809884	-0.4092034	-0.008449522	0.075411096	-0.51891834	-0.69302416	-0.21249798	-0.03455564	-0.05869844	-0.12990141
ENSMUSG00000043668	0.01782721	0.018745588	-0.032092415	0.016529521	-0.029453326	0.013695377	0.020803278	0.09238876	0.02234784	0.0006953747	0.017704152	0.068964645
ENSMUSG00000097446	-0.0062039904	-0.050848622	-0.112264305	-0.024885077	0.0025470504	-0.022585815	-0.019919192	0.078130215	-0.0026902517	0.0073883226	-0.034422506	-0.08099387
ENSMUSG00000090700	0.04286111	-0.040859576	-0.029545654	-0.056406997	0.00944355	-0.053290132	0.048667327	0.008404414	0.019045886	0.008649157	0.023911864	-0.018437102
ENSMUSG00000074625	0.035692763	-0.06410292	-0.04449992	-0.035389792	0.0024696616	-0.043331437	0.046461273	0.019006794	0.019663477	0.008104107	0.02786382	-0.009616
ENSMUSG00000107887	-0.008444272	-0.09355732	-0.052985925	-0.058745977	-0.020363677	-0.042926073	0.039710328	0.013832898	0.009713293	0.0024460242	0.00832157	0.0051933657
ENSMUSG00000025979	0.049083192	0.18979831	0.068852104	0.16497816	0.018145159	0.07543103	0.05704171	0.11479718	0.021517033	0.0040729158	0.0074184304	0.08835996
