gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	DPY30 mean gb	DPY30 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	INTS11 mean gb	INTS11 mean promoter
ENSMUSG00000091712	0.020728527	0.023041688	-0.08136862	0.008179112	0.007433105	-0.0012266799	0.03753174	0.054534063	0.022885911	0.007881881	0.024705121	0.02209889
ENSMUSG00000038349	0.014580212	0.03985007	-0.08484109	0.0056705824	-0.012153081	0.031813398	0.03488337	0.096927986	0.009880353	0.00066142174	-0.005695536	0.06854649
ENSMUSG00000073599	0.028923206	0.024234397	-0.0072614844	0.0057929805	0.019099183	-0.0458581	0.056063004	0.05401965	0.019983279	0.008888312	0.010472042	-0.0036103688
ENSMUSG00000100168	0.023952357	-0.33381808	-0.032844543	-0.3291353	-0.0040135086	-0.07058931	0.025161624	-0.14214852	-0.0026029048	-0.08763919	-0.04190084	-0.053420573
ENSMUSG00000092187	0.026154334	-0.07493246	0.02011388	-0.093149535	-0.00079401373	-0.026668428	0.047684018	0.07454349	0.0065529994	-0.0030197727	0.0042071566	-0.04775216
ENSMUSG00000086353	0.005305412	-0.050957493	-0.083711214	-0.039049204	-0.019844903	-0.026560053	-0.0020884045	0.01397984	0.002351067	-0.0061693364	-0.01632559	-0.027873175
ENSMUSG00000011349	0.043437395	0.08528153	-0.016187057	0.085507385	0.0037909823	-0.06756204	0.04321872	0.07739907	0.014360296	0.009537736	0.014500991	0.023007464
ENSMUSG00000102263	0.030001555	-0.026977079	-0.058774993	-0.0013963942	0.0036176639	-0.01851303	0.06505144	0.016148169	0.02600986	0.0059621637	0.038252592	-0.07364735
ENSMUSG00000044062	0.03984869	0.07802644	-0.03276162	0.016275473	0.0030826505	0.03612307	0.054377258	0.07604692	0.011735153	0.008728696	0.025329366	0.05240752
ENSMUSG00000028898	0.050611734	0.13995674	0.14379983	0.13088928	0.014678158	0.06459956	0.0584742	0.104092754	0.022053218	0.007674844	0.011756879	0.08671389
ENSMUSG00000004462	0.035642393	0.17370199	0.021491352	0.12956998	0.010765541	0.079606	0.042306405	0.11372618	0.020136094	0.0056212	0.017113175	0.07888426
ENSMUSG00000050530	0.007557186	-0.029609444	-0.09408122	-0.06507028	0.0134845115	-0.04562077	0.020159435	-0.011696095	0.017452018	-0.006740445	0.017955754	-0.06094256
ENSMUSG00000070287	0.03022606	0.04013194	-0.010557382	0.030898074	0.0012574904	0.028908009	0.036255118	0.07414069	0.012289084	0.006070004	0.010013021	0.058633544
ENSMUSG00000121596	0.051876653	0.098290734	0.05807596	0.1173019	0.012209147	0.04890995	0.054980505	0.083619736	0.025538627	0.008358618	0.019361626	0.07783732
ENSMUSG00000102979	0.042756986	-0.059488315	-0.023608971	-0.086808145	-0.013767611	-0.02870441	0.028280715	-0.043057732	-0.022233939	-0.010537585	0.021400237	-0.040084317
