gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	DPY30 mean gb	DPY30 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	INTS11 mean gb	INTS11 mean promoter
ENSMUSG00000078485	-0.51475143	-0.4414166	-0.20785601	-0.4022491	0.0035299896	0.079559594	-0.52370137	-0.69790167	-0.21968387	-0.029259006	-0.066471614	-0.12879549
ENSMUSG00000038914	0.053461432	0.23912354	0.24297664	0.21147105	0.045879	0.07877384	0.06599453	0.09122105	0.02994476	-0.00015659879	0.02264565	0.06907195
ENSMUSG00000085894	0.04881176	-0.049318075	0.095329456	0.0071211066	-0.007917842	-0.030912459	0.018369457	-0.0017624144	0.015671171	0.0053866184	0.028512755	-0.018103037
ENSMUSG00000045251	0.041667152	0.1337012	0.23748644	0.10698584	0.01990212	0.041517396	0.009693646	0.109346114	0.01625325	-0.0031080302	0.012214946	0.07588126
ENSMUSG00000045410	0.01953381	0.050062135	-0.06802961	0.05871274	-0.02542648	0.02175443	0.041779727	0.036218546	0.013381209	0.0109130535	0.011446756	0.09266972
ENSMUSG00000044617	0.073883	0.09729452	0.11417367	0.0134989275	0.008328035	0.03644927	0.040461555	0.092351355	0.020668112	0.0051994375	0.00845524	0.06356729
ENSMUSG00000101880	0.037368782	-0.010898939	0.03572574	0.08718158	0.002819511	-0.05665796	0.048948165	0.048081372	0.01701571	0.0150046395	0.011391892	0.0044820765
ENSMUSG00000030935	0.016551448	-0.05012918	-0.032732446	-0.024842458	-0.019231936	-0.026051553	0.020581357	0.019818619	0.007722954	0.008102271	0.0028707953	-0.019230764
ENSMUSG00000044471	0.0388328	0.07480952	0.060979113	0.13345616	0.021657925	0.009894642	0.06375714	0.048738882	0.026266716	0.0061673685	0.0277126	0.007988366
ENSMUSG00000024235	0.0034059004	0.010934854	-0.110039644	-0.005736165	-0.027710058	0.0717205	0.0004742132	0.098205216	0.027085243	0.005509273	0.016305337	0.102654934
ENSMUSG00000036641	0.021153083	0.17089333	-0.053251557	0.15963279	-0.0048621036	0.059663717	0.039501913	0.1212469	0.016002381	0.009736219	0.00620145	0.0735508
ENSMUSG00000016940	0.06214754	0.16604483	0.09596108	0.10896487	0.00905332	0.08254231	0.047710557	0.108040206	0.022696635	0.0039037806	0.018394724	0.08032156
ENSMUSG00000045019	0.058860876	-0.012928867	0.010708028	-0.025281519	0.004380999	-0.057731163	0.053674735	0.013534732	0.02178122	0.012512131	0.022040363	-0.01489659
ENSMUSG00000034445	0.030861452	0.15247636	0.015511255	0.12984996	-0.0014305358	0.08230559	0.04358083	0.099295214	0.021237928	0.009266013	0.019748215	0.08392939
ENSMUSG00000031144	0.0536334	0.036388744	0.2164374	0.089157626	0.029872496	-0.017858876	0.05293399	0.04927969	0.016270442	0.009274476	0.018865123	0.051129002
ENSMUSG00000008206	0.024394423	0.09546076	0.023699941	0.107819796	0.008361978	0.037710276	0.026442075	0.09493353	0.023049023	0.0033566472	0.025139507	0.08342271
ENSMUSG00000026017	0.04406728	-0.019379592	-0.011339421	-0.027839344	-0.009201798	-0.02382828	0.037067257	0.021297466	0.016104171	0.016713068	0.0024568427	-0.048658848
ENSMUSG00000121791	0.023597773	-0.037395846	-0.03194927	0.037549935	0.016795067	-0.061883375	0.031725314	0.07676135	2.868172e-05	0.0056883683	0.027461307	0.0037112415
ENSMUSG00000095533	0.038106933	-0.03674513	-0.04605982	-0.025478391	-0.022155019	-0.03719414	0.018634405	0.03593849	0.030662391	0.0025120822	0.03760714	-0.03202205
ENSMUSG00000029168	0.032627482	0.10002313	-0.009538967	0.07757274	0.01525262	0.030823637	0.048560675	0.07923459	0.019694474	0.004761004	0.019309068	0.03298187
ENSMUSG00000022008	0.043573655	0.2144424	0.06946873	0.12555128	-0.005852626	0.028400904	-0.027760547	0.14097223	-0.010436357	0.015167029	-0.006896354	0.08342831
ENSMUSG00000057409	0.042808883	0.1268078	0.02604386	0.14375818	-0.0018029097	0.05017381	0.07215797	0.082695104	0.018385844	0.00999871	0.0036842446	0.087331206
ENSMUSG00000024807	0.052423533	0.20076962	0.1529099	0.15936548	0.025043946	0.058579225	0.038415454	0.1116331	0.013599306	0.0018074415	-0.0026941914	0.07187429
ENSMUSG00000024896	0.03208161	0.15034337	0.022600885	0.17851648	0.013206557	0.07256008	0.062815115	0.13009517	0.018777521	0.0036282241	0.018166177	0.099058494
ENSMUSG00000048617	0.06490882	0.050727494	0.071004465	0.075781524	0.03812741	-0.03719275	0.061415352	0.055326805	0.026073901	0.00849499	0.033967435	-0.033438895
ENSMUSG00000030510	0.008929328	-0.04240961	-0.06862504	-0.060373962	-0.0065036253	-0.032343358	0.020846562	0.030755524	0.014835468	0.0063925753	0.009924278	-0.032710798
ENSMUSG00000064263	0.052706603	0.091353394	0.09106595	0.15589559	-0.0059072194	-0.02864896	0.0586226	0.061444733	0.027761888	0.004478012	0.028957164	0.061262652
ENSMUSG00000047126	0.051460754	0.2088907	0.08865975	0.19103642	0.018361036	0.0852842	0.0636231	0.124341674	0.01657715	0.004422263	0.0064986805	0.10177069
ENSMUSG00000060771	0.032632988	0.06133817	-0.046618074	0.04325268	0.0046510613	-0.016706705	0.040185247	0.04119275	0.02028772	0.010788623	0.0012814782	-0.0449598
ENSMUSG00000027403	0.0030060292	-0.120195314	-0.06087092	-0.107101195	0.0039423457	-0.040302392	0.042745203	-0.030529853	0.0045697913	-0.0053821243	0.003892417	-0.0415927
ENSMUSG00000086020	0.013986496	-0.07925096	-0.07097028	-0.06439922	-0.0073969513	-0.036562353	0.031788513	0.0035635526	0.01220787	0.010692276	0.010389053	-0.010288369
ENSMUSG00000051497	0.016397104	-0.07906934	-0.05833729	-0.078332685	-0.018972937	-0.035034556	0.009683874	-0.039284438	0.017571345	0.0032752242	-0.008129835	-0.04311321
