gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	DPY30 mean gb	DPY30 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	INTS11 mean gb	INTS11 mean promoter
ENSMUSG00000031134	0.045319878	0.11699633	0.19217822	0.13213752	0.029873496	0.008914815	-0.023352211	0.10142674	-0.0011665062	-0.00018753466	-0.010085325	0.0875405
ENSMUSG00000053398	0.026714034	0.06760964	0.06795851	0.1365657	0.01765016	0.033177942	0.041752547	0.09506953	0.018428145	0.0059769857	0.030162489	0.07544457
ENSMUSG00000084850	0.0056964895	-0.03882051	-0.07604913	0.026314482	-0.024705898	-0.032644484	0.03144074	0.018986136	-0.000976666	0.018046148	0.015039408	-0.008517405
ENSMUSG00000018425	0.04531356	0.19821891	0.058507256	0.1456074	-0.015545519	0.032573506	0.039854992	0.118274204	0.019403797	0.010422674	0.012580169	0.04795373
ENSMUSG00000042105	0.043504436	0.13353421	0.0414238	0.11391575	0.008809066	0.055444993	0.05480272	0.09176955	0.020898486	0.008616228	0.01696506	0.08678065
ENSMUSG00000020056	0.034049425	0.06855451	-0.008808726	0.122909866	-0.02700411	0.008244824	0.006107452	0.07064801	0.02034893	0.0083192615	-0.001852685	0.085186124
ENSMUSG00000021610	0.030117294	0.19896416	0.059363663	0.166453	0.0011447687	0.04861291	0.0041658916	0.13372247	0.023568511	0.00068090466	0.009927672	0.08785843
ENSMUSG00000001440	0.055851325	0.21629208	0.15206365	0.1930263	0.028927987	0.06533887	0.05301741	0.09292449	0.025601776	0.002158831	0.020369193	0.07633483
ENSMUSG00000027831	0.021685857	-0.044899866	-0.075133234	-0.045170106	0.008005489	-0.046671435	0.032622967	-0.014220705	0.018625792	0.013806898	0.009704772	-0.02532528
ENSMUSG00000003848	0.049364187	0.15176558	0.1478246	0.11298311	0.013379759	0.067555904	0.056944404	0.09903383	0.02252969	0.007645671	0.013893994	0.084116265
ENSMUSG00000045205	0.040902082	0.18232568	0.005671529	0.13824493	-0.008679138	0.06847151	0.040126704	0.13030025	0.018771516	0.009760882	0.014999012	0.09043625
ENSMUSG00000018846	0.050433375	0.1562661	0.11949557	0.16591549	0.021667957	0.06278095	0.06727156	0.1017722	0.023036158	0.005488545	0.008191052	0.08183731
ENSMUSG00000102018	0.038993407	0.15298754	0.0052280435	0.17005332	0.01617858	0.064629085	0.06793093	0.097919986	0.02339632	0.005178938	0.020477848	0.04857199
ENSMUSG00000112500	0.033851255	0.025260836	-0.008314679	0.086266816	-0.0011431177	-0.033196755	0.058463033	0.056434218	0.024591167	0.013143778	0.01957572	0.07703375
ENSMUSG00000114319	0.030733816	0.063186355	-0.04643979	0.12988949	-0.009587859	-0.09774326	0.030195538	0.05637896	0.01502244	0.0063643963	0.0065575605	-0.012878951
ENSMUSG00000048482	0.051633097	0.057358887	0.13176434	0.12610787	0.029507892	-0.0050600544	0.06425671	0.051713914	0.017760057	0.00829247	0.018958021	-0.050529707
ENSMUSG00000028549	0.030370114	0.15136304	0.0057387813	0.11781275	-0.018852973	0.06302965	0.026343223	0.11823759	0.013608879	0.010385756	0.001475968	0.084796816
ENSMUSG00000117185	0.020794857	0.118520476	-0.060562894	0.1271159	-0.030200733	0.019139389	-0.036834214	0.110504024	0.024669701	0.006356428	0.0043445937	0.07532209
ENSMUSG00000015750	0.047926653	0.16378541	0.09926443	0.106797636	0.024906276	0.019459216	0.019845331	0.055812668	0.010067821	0.009021559	-0.012677043	-0.012123161
ENSMUSG00000037415	0.04748331	0.16144052	0.033187047	0.08739961	0.004513626	0.08964751	0.053306017	0.094570786	0.02300222	0.0065460852	0.02278353	0.09538417
ENSMUSG00000031393	0.025233477	0.18384483	0.08873254	0.14365606	0.010923131	0.013478325	-0.011932707	0.1346144	0.0022885504	0.0036810772	-0.01406273	0.09178612
ENSMUSG00000033020	0.053937882	0.086560234	0.110558465	0.06639929	0.0125135835	0.06890663	0.0714655	0.076357864	0.025903517	0.007875879	0.019124957	0.063150376
ENSMUSG00000087221	0.04467704	0.13555703	0.069340184	0.15009107	0.028688721	0.030781325	-0.0072548157	0.12858902	0.0115944715	-0.0034431715	2.2764712e-05	0.08590942
ENSMUSG00000096718	-0.51043046	-0.44146118	-0.19836187	-0.4000344	-0.0044654966	0.07912336	-0.5316438	-0.7050246	-0.22491686	-0.028594486	-0.06206908	-0.12111771
ENSMUSG00000037058	0.056129184	0.16224104	0.19416328	0.15082198	0.025671782	0.0641494	0.065867946	0.09271702	0.025544774	0.0041434835	0.0065179006	0.0909145
ENSMUSG00000027099	0.038833793	0.16199657	-0.0021624125	0.10785061	-0.0072089275	0.04437583	0.044380523	0.13214907	0.014996707	0.0058307946	-0.027814426	0.104698725
ENSMUSG00000052406	0.047598764	0.17821847	0.11075931	0.11720521	0.008601474	0.05520557	0.03644469	0.11868909	0.008510176	0.009930549	0.012793622	0.086278826
ENSMUSG00000026393	0.036592335	0.16285126	0.0018815956	0.15819907	0.014865958	0.015331653	0.029926393	0.11649735	0.01968381	0.0066504627	0.010671879	0.042176276
ENSMUSG00000090173	0.03956647	0.044843376	-0.0074043195	0.15390748	-0.010676207	-0.029638164	0.058446854	0.061189104	0.022469824	0.008654226	0.031047817	-0.020167831
ENSMUSG00000071528	0.0416449	0.16692626	0.16310222	0.11367571	0.01095604	0.06348862	-0.029079475	0.10884873	0.0040373094	-0.0012765537	0.008157555	0.085456155
ENSMUSG00000085396	0.034223177	0.08534583	0.19940059	0.14369652	0.030978614	0.016255165	0.018799337	0.056957483	0.005076007	0.008461755	0.018979117	0.047630828
ENSMUSG00000085944	0.044885386	0.1662397	0.030034544	0.092026345	0.015688568	0.040450033	0.03632528	0.098851115	0.012743602	0.0046640616	0.008895167	0.06202137
ENSMUSG00000105834	0.042502172	0.25270855	0.039178323	0.14968403	-0.023823038	0.019037072	-0.037893638	0.15182118	0.024221	0.006082833	-0.013457229	0.078918375
ENSMUSG00000048661	0.047339875	0.15393713	0.023615623	0.16743405	0.019433659	0.068973616	0.05729564	0.1237448	0.021283187	0.003976183	0.011020066	0.10014291
ENSMUSG00000032103	0.05927354	0.1422461	0.22779627	0.11929653	0.024709731	0.04272874	0.016825495	0.10882982	0.010276401	0.0063555185	-0.014718856	0.083441325
ENSMUSG00000040151	0.038915467	0.19122335	0.015853517	0.17157125	0.010352233	0.084879525	0.061632644	0.121524304	0.02249906	0.0038703503	0.015012918	0.09552404
ENSMUSG00000037712	0.019728754	0.16897121	-0.073017195	0.1351159	0.019106157	0.03847061	-0.035347488	0.15202111	-0.019906586	0.0013690878	-0.02034047	0.09285851
ENSMUSG00000018770	0.08319529	0.163663	0.21523492	0.12273074	0.025597751	0.03825092	0.061993007	0.097346425	0.0008063673	0.010730615	-0.005136277	0.070290744
