gene_id	SET1A mean gb	SET1A mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	DPY30 mean gb	DPY30 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	INTS11 mean gb	INTS11 mean promoter
ENSMUSG00000000148	0.031879544	0.20132989	0.013661687	0.14863506	-0.004436758	0.05765016	0.038422443	0.048166275	0.012376466	0.0107120685	0.01621762	0.0029974345
ENSMUSG00000045036	0.023079444	0.015370255	-0.059757374	-0.0008027938	-0.014201457	-0.074713826	0.03239546	0.061075956	0.012416362	0.009914406	0.0026141922	-0.019132882
ENSMUSG00000029909	0.005414142	-0.069919564	-0.10178537	-0.06947236	-0.015481651	-0.0145318	-0.031923704	0.017781114	-0.009720661	0.0041019395	6.1962644e-05	-0.04650745
ENSMUSG00000042286	0.022912763	-0.060779955	-0.033840243	-0.04151614	0.0059881755	-0.04176241	0.040404707	0.010904434	0.017848179	0.005851679	0.036969244	-0.02023975
ENSMUSG00000020546	0.027768143	0.24899337	-0.03458208	0.16932331	-0.019468756	0.06469454	0.021700768	0.14419559	0.012222317	0.010526273	0.0021704237	0.08893919
ENSMUSG00000027569	0.09641246	0.0005172829	0.19504748	-0.07434381	0.013529648	-0.06312959	0.090491734	0.01065301	0.034193125	0.008832434	0.061296232	-0.052475575
ENSMUSG00000031786	0.048394166	0.029240018	0.04439233	0.0051907627	0.008727173	-0.07971505	0.036167946	0.022773521	0.020531187	0.013282992	0.026740793	0.00045449365
ENSMUSG00000067995	0.04822607	0.16031845	0.031308584	0.06533744	0.01764688	0.040833127	0.00961969	0.083085865	0.0008186029	0.011584736	-0.012011471	0.051812723
ENSMUSG00000086935	-0.024546683	-0.08046705	-0.07724053	-0.02560743	-0.022492833	-0.030428838	-0.0020823865	0.0049146395	-0.018205293	0.007574398	0.038566068	-0.013483828
ENSMUSG00000097785	0.04467774	0.14203088	0.053332478	0.16612093	0.022908516	0.062975645	0.049912907	0.08309352	0.022029385	0.005361745	0.023447398	0.03587096
ENSMUSG00000115971	-0.5099596	-0.4322697	-0.20336717	-0.39949635	-0.0040432857	0.08092949	-0.52496576	-0.698909	-0.22535503	-0.031020934	-0.07261097	-0.12792832
ENSMUSG00000079584	-0.075573325	-0.102582105	-0.06128746	0.032618716	-0.049618367	-0.013991583	-0.054201934	0.040578194	-0.014379728	-0.009540636	-0.03181199	-0.06479734
ENSMUSG00000087401	-0.062749006	-0.16062273	-0.08095002	-0.06861308	-0.051647037	-0.011864681	-0.038861528	-0.013559553	-0.018256078	-0.0015863049	-0.029330177	-0.07459923
