"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"ENSMUSG00000079800"	18.3438722278553	0.0518300126596918	0.236826403515235	0.525375024906534	0.937864006473622
"ENSMUSG00000095092"	1.93083887425324	-0.00477395506827568	0.24372936808753	0.819965874174294	NA
"ENSMUSG00000095672"	4.60717687399133	-0.0249847348456077	0.243253631178778	0.521305867657056	NA
"ENSMUSG00000079190"	218.299385099823	0.0857688836973053	0.188391833568956	0.494203025168966	0.929042471777945
"ENSMUSG00000079808"	64.5280476424884	0.0539861560002228	0.212943974887766	0.630450342237284	0.961254832958332
"ENSMUSG00000079222"	3.34456743947683	0.0168902219362494	0.242353961200246	0.678588521340968	NA
"ENSMUSG00000095500"	11.9064102892924	0.0424650956823657	0.239290878238856	0.540523683524169	0.941019469868999
"ENSMUSG00000062783"	9.07003181606073	0.0191550651276764	0.237483729306394	0.759499428224804	0.980564737697933
"ENSMUSG00000095570"	2.50171750546652	-0.00909590797071552	0.243579402478934	0.704469310017547	NA
"ENSMUSG00000091585"	8.9350138187583	0.0476378545718818	0.244950123550936	0.376354736188767	0.890627871060727
"ENSMUSG00000095041"	743.916113123885	-0.455956760924686	0.257960671414916	0.0100081529312415	0.13978004097662
"ENSMUSG00000051951"	236.034012877823	0.94794967571651	0.299472909547486	8.54521666300723e-05	0.00274072903091034
"ENSMUSG00000102343"	14.2711708645593	0.0564425475562985	0.241331001364028	0.447085169369313	0.914515102733541
"ENSMUSG00000025900"	71.4563467378093	-0.0153746597549095	0.202682367036162	0.891189603349537	0.990505961087328
"ENSMUSG00000025902"	6.6422821574498	0.0872818001384208	0.262848508779391	0.0910042396196114	0.540625387715572
"ENSMUSG00000033845"	2049.31217759947	0.33152537767735	0.168436451568246	0.0143141218355216	0.180141692377918
"ENSMUSG00000025903"	187.56959130504	0.0841581692776281	0.20370534265396	0.490127338364706	0.927993938839701
"ENSMUSG00000104217"	1738.49112006232	0.264076000343013	0.149286244977899	0.0321122808441755	0.30764193291544
"ENSMUSG00000033813"	1760.58338138919	0.168159166112626	0.162232730241411	0.175964673492083	0.715981619611278
"ENSMUSG00000002459"	1027.88041392902	0.725500505703878	0.201224497462703	2.71636283324724e-05	0.000996899864747482
"ENSMUSG00000033793"	3485.10786519388	0.0548345636804274	0.137905260637576	0.631022779420029	0.961254832958332
"ENSMUSG00000025905"	24.9660511905875	-0.08631630040613	0.24423600066307	0.344424229748352	0.871297677570616
"ENSMUSG00000090031"	41.554725243119	-0.00822911964057919	0.21667670425844	0.933317195123938	0.99443056925035
"ENSMUSG00000025907"	2085.97989671113	-0.159026222938472	0.149124959824319	0.186396274016632	0.729277358875962
"ENSMUSG00000087247"	73.6572837356273	0.280080138922856	0.316204174824933	0.0730149398701517	0.487757872867493
"ENSMUSG00000103845"	13.112199735742	-0.0334715119045379	0.236440188173338	0.636689588189723	0.962110054286219
"ENSMUSG00000033740"	98.7151483693857	0.0369170775431413	0.195544639831319	0.75871321911419	0.980564737697933
"ENSMUSG00000102135"	16.3130112587694	0.00590169268609507	0.231072110268327	0.941859031691266	0.995369267815886
"ENSMUSG00000051285"	8449.08157012499	-0.28788552057246	0.160945317355785	0.0248126579838176	0.262295290208497
"ENSMUSG00000097797"	679.705515520729	0.364948621281996	0.204308060080552	0.0165314500350391	0.200683498361943
"ENSMUSG00000103067"	67.6862909031103	-0.0401509327752835	0.207024011340858	0.723112112557698	0.976592480326795
"ENSMUSG00000025909"	3524.5305938897	0.022249672251673	0.130667557888617	0.840730231056841	0.987078162464408
"ENSMUSG00000025911"	73.4399894212022	-0.0982686202842368	0.21851782609772	0.412244132984299	0.902876675493411
"ENSMUSG00000079671"	13.9527097673094	-0.0347706431111061	0.23769161530016	0.602870290422913	0.954321319453112
"ENSMUSG00000025912"	893.757546212382	-0.204457377487432	0.172992850939291	0.117907698386631	0.609503946836337
"ENSMUSG00000045210"	390.124748264197	0.204819239347918	0.187306945106638	0.13213642001908	0.640634128255947
"ENSMUSG00000097893"	56.5258194275804	-0.00128827223978966	0.20901290026667	0.988329738445632	0.998669312788105
"ENSMUSG00000025915"	130.53576373243	0.715351746411699	0.339112018285512	0.00233388451521691	0.0442476954812678
"ENSMUSG00000098234"	1173.06059655229	0.291849109107724	0.158374236169961	0.0233782283089719	0.252374945168013
"ENSMUSG00000099032"	14.7036836746616	0.0826184426315231	0.251014099166801	0.281325107548981	0.82982117947763
"ENSMUSG00000025916"	14.354193547244	0.0181093867688162	0.234311119777975	0.799348699499719	0.984867696054937
"ENSMUSG00000025917"	1072.54296567119	0.149933285131836	0.157483381289779	0.222652304413962	0.772393997174241
"ENSMUSG00000056763"	3889.55582434626	0.0321241262716491	0.142058447819016	0.789742204108765	0.98355999713936
"ENSMUSG00000067851"	3378.82281005456	0.437649298285724	0.176762108631369	0.00247095791556689	0.0463353831438026
"ENSMUSG00000042501"	88.8798791833897	0.0161710033537076	0.198623168749394	0.893198465800083	0.990594901684187
"ENSMUSG00000048960"	2316.07588001662	0.483630786091747	0.167916209081926	0.000649342079830736	0.0155536429223579
"ENSMUSG00000057715"	3125.77959295457	0.0744707035993583	0.135752739245094	0.510746029988321	0.931626207439567
"ENSMUSG00000016918"	2474.27851651094	-0.0742142378776565	0.148163433557867	0.531651222881128	0.93842246920269
"ENSMUSG00000025938"	507.975458894234	0.399901088348756	0.18791357499233	0.00707846145750276	0.107197119352686
"ENSMUSG00000099498"	53.968986420591	-0.426540248822278	0.499373342622196	0.0261035821206081	0.271370591156647
"ENSMUSG00000042414"	274.831631957579	0.0706065192962027	0.17070689937015	0.57118450946436	0.948882975353878
"ENSMUSG00000005886"	2803.36511172072	0.116438553574777	0.132489016201819	0.297346923336716	0.845223983042725
"ENSMUSG00000101476"	9.37976895625404	0.014239115563647	0.237241231329598	0.816473217127975	0.986017051649587
"ENSMUSG00000025935"	1157.00907678154	0.0702368581410249	0.134403823762585	0.534849893202359	0.93924250903095
"ENSMUSG00000120948"	104.487316645097	0.0435491872881794	0.195814400683156	0.717934042082451	0.97648780597358
"ENSMUSG00000025937"	2717.13366565479	0.0170323763488053	0.137284311146894	0.883046079191689	0.989415646778719
"ENSMUSG00000067813"	37.5284610334034	0.0120803990169107	0.22103251080578	0.901441045619216	0.991072955079544
"ENSMUSG00000025932"	300.655507795154	0.261971366802475	0.208580236382775	0.0725507445584771	0.486263035885528
"ENSMUSG00000054493"	157.638807453615	0.486941510490994	0.329008733151344	0.014097318069759	0.178537081219171
"ENSMUSG00000032769"	403.309128097175	0.102087165537363	0.174128830852414	0.417972822942915	0.905670548419489
"ENSMUSG00000092083"	136.841028086999	1.08349431017867	0.337233697930603	6.69426305166151e-05	0.00221888891678928
"ENSMUSG00000025925"	5503.52863103266	0.0495908671635122	0.129632041495828	0.656370946474138	0.964458409843057
"ENSMUSG00000032719"	394.366967533945	-0.177743242999938	0.174822561075633	0.173364905833392	0.711492612808373
"ENSMUSG00000067795"	31.1892448612426	0.0870577999469943	0.23934595307371	0.378897384331823	0.892023698608327
