	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000039004	-0.054995082	0.09177205	-0.22713526	-0.126605	-0.023009151	0.21483895	0.18285051	0.28241798	0.023109855	-0.44341487
ENSMUSG00000021638	-0.048903186	0.067636035	-0.23903783	-0.121566616	-0.024368312	0.4789652	0.23925123	0.3065333	0.008034299	-0.4860113
ENSMUSG00000029759	-0.014761244	-0.019584525	0.0053332504	-0.017539306	-0.109197885	0.21762638	-0.025796125	-0.008672995	-0.0047582523	0.021160807
ENSMUSG00000037110	-0.0033204216	-0.012212911	0.18187144	-0.020380575	-0.073944226	0.36745995	0.035300944	0.13117318	0.01113685	0.019720012
ENSMUSG00000074489	-0.04731943	-0.0058740596	0.06951191	0.020636681	-0.057049733	-0.20721258	0.122610986	-0.11745938	0.03157485	0.06711981
ENSMUSG00000033308	0.007360823	-0.0023066557	-0.2594094	-0.09280541	-0.13612694	0.2325655	-0.11356353	0.13346277	0.009256464	-0.14212073
ENSMUSG00000087521	0.07458439	0.07792805	-0.5518774	-0.11922945	-0.04116327	-0.06005269	0.27044013	0.15800565	-0.036661755	-0.28390202
ENSMUSG00000027508	-0.033587426	0.046307698	-0.11122361	-0.119626544	-0.04605546	0.42289314	-0.007881091	0.307534	0.024927896	-0.38753787
ENSMUSG00000041975	0.0017588907	0.005813958	0.100516826	0.010691429	-0.0044764825	0.56635267	0.027516404	0.1863569	0.032125335	0.028949957
ENSMUSG00000102692	-0.013588196	0.10564599	-0.22885922	-0.20255403	-0.034198932	0.26526684	0.026597232	0.31251532	0.032592762	-0.5722923
ENSMUSG00000039428	0.037361678	0.03926441	-0.0012158465	-0.12622406	0.03312029	0.6577972	0.04389346	0.3529295	0.029351112	-0.44242632
ENSMUSG00000022519	-0.028341644	-0.0050486517	0.26636386	-0.020369802	0.027342603	0.21818267	0.028057778	0.12831171	0.026832664	0.059897263
ENSMUSG00000005360	-0.035042055	-0.011379438	0.15544383	0.0034328368	0.021470914	0.472844	0.021519464	0.13392547	0.029679548	-0.06800107
ENSMUSG00000073226	0.03616105	0.016814899	0.029709153	0.15690368	-0.012402281	-0.07877423	-0.0046377033	-0.11210969	-0.017497102	0.11477292
ENSMUSG00000036225	-0.074355684	0.05969898	-0.25806087	-0.08655135	0.0404085	0.3426453	0.32352263	0.26851764	-0.03183707	-0.42518172
ENSMUSG00000028245	-0.028719485	0.0522684	-0.18801375	-0.14307365	-0.029636636	0.23244263	0.03303298	0.3143064	0.0320164	-0.40978137
ENSMUSG00000032006	-0.02194755	-0.014003572	-0.2230194	-0.019525906	-0.17592727	0.045757703	-0.16171044	-0.08708374	-0.013709688	-0.032558665
ENSMUSG00000113441	-0.023708282	0.0021384305	-0.15657	-0.029748876	-0.022198513	-0.35525948	-0.007665377	-0.1777945	0.020164818	0.09132819
ENSMUSG00000029469	-0.02430542	-0.009631716	0.15743175	-0.015339454	-0.07116198	0.36950174	0.031029474	0.14829662	0.014199312	-0.031189037
ENSMUSG00000021815	0.07204334	0.0024530154	0.3476009	0.24546477	-0.08984249	-0.24321268	0.016516533	-0.24435309	0.00857663	0.033065986
ENSMUSG00000028803	-0.07079368	-0.00061065087	0.32294458	0.052535105	0.017977437	0.33377343	0.031793326	0.16241506	0.017690567	-0.00050972245
ENSMUSG00000076439	-0.044953264	0.008105498	0.342583	0.06654644	0.06476676	-0.14959733	0.10394204	-0.03333639	0.020900022	0.10017459
ENSMUSG00000024067	0.0031952302	-0.016963582	0.6200618	0.1045474	0.2935374	-0.32226428	0.11810031	-0.11692991	0.036271907	0.087720014
