	PolII mean gb	PolII mean promoter	PolIIS5P mean gb	PolIIS5P mean promoter	PolIIS2P mean gb	PolIIS2P mean promoter
ENSMUSG00000027397	2.0901559892091592	1.9086381785363316	2.282598529538598	1.9951893206413747	2.1971732337856418	1.8513803255609185
ENSMUSG00000068348	-0.74505319233811	-0.9525790927717812	-1.1702828648812378	-1.2018478276726	-0.788142415678958	-1.0035335019506877
ENSMUSG00000020930	-0.10163344586459842	1.45634760342303	-0.08319121897160509	1.5399844822602364	-0.06190477975355679	1.3653599935238754
ENSMUSG00000021621	0.780984094430735	1.3957469439046057	0.9779265718744745	1.4336448065526353	0.8155024367661132	1.024659964278845
ENSMUSG00000059981	0.5770265692762537	0.9982134546706698	0.5663033204937874	0.9404423428354014	0.693823191432401	0.7968907339188389
ENSMUSG00000108378	1.282624749003885	-0.1365280727500605	0.9840056237409226	0.07805980451047961	0.9663438731715037	0.7788443298805667
ENSMUSG00000032042	1.482153116763025	0.7445987849869202	1.5667290309191844	0.6714677326331798	1.539549555945768	0.8946816766802217
ENSMUSG00000024553	-0.9856935207071759	-0.6922937604029452	-0.792767074814106	0.3217118868375639	-0.9564528795463803	-0.865491742560095
ENSMUSG00000032018	0.8997355030112338	1.0374246275147967	0.9376416248569257	1.1280291833562028	1.0156506179689846	0.869148656990365
ENSMUSG00000108795	-0.08738497488124942	-0.7374776661417898	-0.3230940908252847	-0.746816354346847	-2.47222957053441	-0.49423229096156746
ENSMUSG00000024851	0.810104770195463	0.4623685108124312	0.8366120445425363	0.6262416758003073	1.069922367888894	1.2350965846065045
ENSMUSG00000032413	0.23751664110517165	1.3414812034854617	0.18193221113951585	0.8591637749540081	0.34136553129693736	0.2592262571443482
ENSMUSG00000041035	0.5000832581390782	0.7655534390006477	0.3534250829685633	0.6204511003638907	0.6736591648299592	0.30740456783459774
ENSMUSG00000067215	0.7428206984488207	0.48911564799381857	0.7607499896361105	0.27248079706081024	0.2583885483565148	-0.14101564315278894
ENSMUSG00000037373	0.9921515064451389	1.3667835851520211	1.0756183542141124	1.1748967134906179	1.1502558061411328	1.3113068015875822
ENSMUSG00000074476	0.982794332097122	0.6947454259997473	1.0996138323692537	0.8673347804843896	1.1391079521969523	0.7419906324049383
ENSMUSG00000048126	-0.6649900596166224	-0.745700290319464	-0.7264430579136737	-0.8450524874373564	-0.6873644238706836	-0.7120247271894632
ENSMUSG00000038545	0.5573010903542452	1.1137489760731465	0.5838917850809044	1.0813080474212111	0.6618284851411356	1.4410969497694186
ENSMUSG00000025321	-0.9411199719847687	0.3778726779260438	-0.8945018461016225	0.3308711815317237	-0.9061763322234994	-0.5793998753038773
ENSMUSG00000060161	-0.9634599074188728	-1.1713739163214354	-1.187855455409946	-1.080041077879626	-1.065675301127858	-1.3582926071784913
ENSMUSG00000112952	-0.8775752524648545	-0.8341738347632219	-0.7696913142861137	-0.9717561339373131	-0.7673625070019204	-0.697948974443304
ENSMUSG00000022827	0.32844739939733414	1.7351473192276967	0.4841700992169867	1.861682955033923	0.4691656988975049	1.7370181249892627
ENSMUSG00000111147	-0.724635629634803	-0.3161210848420249	-0.8491518850354838	-0.35652963590835934	-0.6681044422759826	-0.7750611686546799
ENSMUSG00000085523	0.08954068505241429	-0.22638204212454277	-0.3688729199327508	-0.47469366898636706	-0.06389419537496709	0.22851663239877548
ENSMUSG00000114511	-1.019444490880656	-1.2498565300729112	-0.7485146451336901	-1.2118692513741212	-1.3345699790371877	-0.9686577288338392
ENSMUSG00000035183	1.293509185966288	-0.02251572838936083	0.9592516832156059	-0.3840745267564097	1.4915241605924632	0.5280701864254127
ENSMUSG00000086000	0.23070545880304077	-0.09894273302012839	-0.3099507665663831	-0.5404251271520751	-0.5428929702325256	-0.3925986961275572
ENSMUSG00000022996	-0.28460672999846753	-1.051081031260929	0.6642370815229071	0.7119585841699944	-0.590008277639355	-0.5267441471952858
ENSMUSG00000090019	0.16000291972522754	-0.9868650657290101	0.1926048507168275	-0.980762110386447	-0.5883897184829768	-0.6411918396196564
ENSMUSG00000034912	-1.013914717901171	-0.39901286366535416	-0.9481088997813181	0.7962690935906475	-0.9417609619114359	-0.410621568317485
ENSMUSG00000052117	-0.35965495595052055	-0.3800588038794911	-0.5686634155201652	-0.26542566013193225	-0.3061360777744895	-0.15879336261430083
