	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000056537	0.14743604	-0.019617613	0.819736	0.26215532	0.21544649	0.3677036	-0.20894082	0.041474137	-0.08790844	0.08612494
ENSMUSG00000090534	-0.07317413	0.10002713	-0.2980452	-0.1416886	0.033531584	0.50512296	0.28846037	0.29942176	-0.02192639	-0.51153684
ENSMUSG00000069601	-0.047673594	0.07448061	-0.11283146	-0.15539338	0.020040749	0.5694071	0.023528073	0.34174773	0.026216084	-0.5332899
ENSMUSG00000020883	-0.037528373	0.0038125243	0.16003168	-0.01437201	0.10585519	0.50434166	0.06673655	0.19258006	0.032724462	0.01219422
ENSMUSG00000023809	-0.055114232	-0.0027078348	0.24904421	-0.007597758	0.0017227388	0.40163183	-0.02481395	0.17566422	0.0077744126	-0.054472312
ENSMUSG00000025189	-0.04484595	0.054543145	-0.19065276	-0.12163983	0.08849785	0.4841421	0.21816605	0.28895128	0.018600825	-0.42717078
ENSMUSG00000024565	0.12654163	0.085823365	-0.28771463	-0.106906325	0.25621834	0.4523602	0.36778238	0.19560127	-0.08985	-0.3130176
ENSMUSG00000021944	-0.00070238503	0.04268182	-0.44246253	-0.09124475	0.13458799	-0.24343836	0.3014237	0.042689674	-0.071224965	0.012222574
ENSMUSG00000027070	-0.050271038	0.09466734	0.0006364691	-0.11216762	-0.017599618	0.6355592	0.10232494	0.3064722	0.028490158	-0.48167792
ENSMUSG00000053965	-0.0377155	0.03576663	-0.20202813	-0.10776529	0.026347302	0.4356305	0.16396111	0.35860053	0.0068037077	-0.3887121
ENSMUSG00000030257	-0.0297598	-0.023405636	-0.0055779675	-0.013797103	-0.037444226	0.109307036	-0.0026601164	0.039123837	0.016992288	0.027591456
ENSMUSG00000032846	-0.030428018	0.02254393	0.018199831	-0.040038005	0.064110786	0.59965175	0.14100485	0.33223358	0.01372674	-0.28156704
