	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000005667	-0.056711085	0.005743016	0.121451534	-0.0022167445	0.344012	0.5704514	0.0670858	0.22233522	0.03094441	0.033181533
ENSMUSG00000024259	0.044590723	-0.002706924	0.1080124	-0.015633982	0.018128818	0.3943009	0.03044732	0.15223292	0.04299085	0.051217034
ENSMUSG00000022144	0.0073781232	0.10256719	-0.42047513	-0.11260625	0.10480388	0.22915965	0.40458667	0.13997993	-0.098484345	-0.35970336
ENSMUSG00000027676	-0.015853865	0.0018300232	-0.20673798	0.012428335	-0.043212835	0.2434153	0.012147733	-0.017744014	0.032385975	0.032345124
ENSMUSG00000055320	-0.034759793	0.0088454215	0.29960546	0.000861736	0.16370754	0.6054069	0.062338866	0.19983639	0.048113767	-0.10873786
ENSMUSG00000051344	-0.028443938	-0.003436563	0.016000962	0.019800661	-0.06310763	0.51175517	0.09711101	0.1016449	0.032315694	-0.03577307
ENSMUSG00000070605	0.036765814	0.01572607	0.03078138	0.052212443	-0.017402524	-0.24304052	0.10251749	-0.052496225	0.025299039	0.08589241
ENSMUSG00000022206	-0.0763649	0.044281427	-0.27213272	-0.034009494	0.09373393	0.17807661	0.41402236	0.22108693	-0.07047037	-0.3200924
ENSMUSG00000078956	-0.06178873	0.0029905676	-0.21832941	0.032436397	-0.0019190724	-0.3515722	0.03250489	-0.12064325	0.01674479	0.065404564
ENSMUSG00000025592	-0.058364745	-0.027473854	-0.017518492	-0.03981641	-0.11891349	0.104397066	-0.37099114	0.009354303	-0.14197406	-0.018873539
ENSMUSG00000020089	-0.03886413	-0.0049075787	0.6112571	0.021475827	0.025461951	0.47965398	0.07605386	0.18527266	0.0249411	-0.02621879
ENSMUSG00000092346	0.158986	0.07611531	-0.4881096	-0.09862858	0.11674041	-0.10402232	0.3573537	0.11715201	-0.081602454	-0.17019716
ENSMUSG00000070867	-0.031781215	0.08012399	-0.1298671	-0.18716052	-0.082373664	0.31264564	-0.13352807	0.28898382	0.00863843	-0.48391807
ENSMUSG00000036545	-0.07371529	0.111563876	-0.1759264	-0.16996643	0.0077833147	0.3816492	0.0936684	0.29670572	0.035443738	-0.55001193
ENSMUSG00000027849	-0.061698012	0.07059214	-0.24824126	-0.14111221	-0.0055893054	-0.06300578	0.1442141	0.19430633	0.042963892	-0.38406315
ENSMUSG00000001729	0.0046487446	0.047657367	-0.05709718	-0.06003609	0.06679426	0.11421127	0.20508131	0.16963185	0.062303286	-0.16519184
ENSMUSG00000098108	-0.04076704	0.0025991942	-0.31959304	-0.035299685	-0.020711845	-0.3100887	0.14211391	-0.16705184	-0.0048394427	0.07059184
ENSMUSG00000025790	-0.016615072	0.07813567	-0.058354355	-0.20567308	-0.10350766	0.4481166	-0.1556103	0.26899263	-0.014135907	-0.55903244
ENSMUSG00000024302	0.010588474	0.0068825753	-0.18638782	-0.023110515	-0.08322822	-0.2883957	-0.10092262	-0.20691559	0.036926296	0.1474925
ENSMUSG00000024713	0.02949408	0.097460724	-0.12231392	-0.2493072	-0.12556162	0.34763345	-0.3034973	0.3253815	-0.04042542	-0.55020684
ENSMUSG00000014030	-0.023287795	0.049071766	-0.36075765	-0.112680346	0.027339181	-0.15794641	0.26320142	0.15502274	0.006096607	-0.2802127
ENSMUSG00000041669	-0.04265955	0.077730395	-0.08071279	-0.118986055	-0.069061905	0.5086726	-0.061588306	0.25388867	0.034411572	-0.38258412
ENSMUSG00000012017	0.19569413	0.08647058	-0.4351435	-0.11664043	0.26213062	-0.010091083	0.369745	0.11906543	-0.07467416	-0.21482119
ENSMUSG00000031736	-0.056244474	0.072384216	-0.18831654	-0.14224723	-0.05061409	0.4860347	0.058003962	0.3368515	0.043891303	-0.44753167
ENSMUSG00000111219	-0.037291214	-0.009663664	-0.20787753	-0.022828996	0.058460798	-0.14765741	0.035710204	-0.07493452	0.0018815533	0.04367799
ENSMUSG00000028633	0.058725104	0.01727391	0.62572193	-0.019815857	0.07215763	0.52282166	0.028608764	0.2126584	0.028037312	-0.06484625
ENSMUSG00000021779	0.013206709	0.06610973	-0.14127378	-0.24531236	-0.11357196	0.4369894	-0.18785706	0.32542828	-0.013895086	-0.56725115
ENSMUSG00000027833	0.15638272	0.08432921	-0.42133543	-0.1203656	0.22481538	0.17614102	0.37653863	0.15265012	-0.14488193	-0.27539724
ENSMUSG00000057215	0.062074393	0.01829878	0.25635585	0.2788801	-0.036796678	-0.031170646	0.04231863	0.004124788	-0.0035055429	0.095412605
ENSMUSG00000027716	-0.043851648	0.061115675	-0.2765927	-0.18775254	-0.047585476	0.2566135	0.00065297063	0.32070673	0.041658778	-0.4421674
ENSMUSG00000037736	-0.04228272	0.108284235	-0.17662273	-0.19488272	-0.045384366	0.42895398	-0.028731208	0.30985054	0.03213024	-0.5699147
ENSMUSG00000087211	0.16598244	0.11255524	-0.43526185	-0.117280714	0.009110689	0.32497343	0.3302307	0.1625742	-0.04659323	-0.34039646
ENSMUSG00000025586	-0.046750337	0.058303766	-0.33057564	-0.110081635	-0.027263714	0.23722862	0.27024394	0.3071425	-0.015541186	-0.41506088
ENSMUSG00000060534	0.047557518	0.028734408	-0.2285578	-0.16882962	-0.13135351	-0.14076291	-0.17134246	0.18123078	-0.024757618	-0.16625583
ENSMUSG00000029313	-0.066133454	-0.0043325867	0.18969133	-0.010081069	0.21847212	0.59417385	0.08453932	0.20486529	0.037661325	-0.063076824
ENSMUSG00000020143	0.0052488223	0.0047194646	-0.05331983	-0.01822032	-0.066078305	-0.1457691	-0.18529516	-0.101868846	0.01289551	0.13281207
