	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000027397	0.08976779994051622	0.6729602346056563	-1.8794325247616288	-1.0112041171959318	1.1987992943064558	1.1596027104824156	0.32882431596838235	0.9107823818991989	-0.1257473632150772	0.23609008221954605
ENSMUSG00000068348	-0.13443195874177966	-0.32633243173406423	-0.08939728885085897	-0.3862245427166343	-1.3527137104693325	-0.9337918848273865	-0.8545289035549797	-1.1044265207735227	-0.6096528739264823	-0.7387841696890125
ENSMUSG00000020930	1.190274002197568	-0.10946995301173518	0.8579851358673246	-0.39994341548334666	0.11567838688753973	1.0448371462002817	0.1356734824779032	0.28502609875948	0.5971480173471903	0.24937457302349086
ENSMUSG00000021621	-0.3115137616645702	-0.06172473222619461	-0.9521125793036019	-0.5042032225995858	-0.15901584414924086	1.1767187673315747	-0.10219313509257037	-0.03155190435035094	-0.2871539260663457	-0.11744142381822228
ENSMUSG00000059981	0.43696332945086974	0.38256871678767357	-1.4620091481178785	-1.1317494914275108	0.44924485368995004	1.0277795850358113	0.04171753306296699	0.9300465932578841	-0.1037359142903766	-0.07197977056306196
ENSMUSG00000108378	0.5827923194320038	0.17517574495283703	-0.038082594875007786	-0.7197422477520125	1.8105444646838458	-0.3278558035451158	0.5235454418261181	-0.330148400911087	0.5799830383465139	-0.35200714506767367
ENSMUSG00000032042	-0.5348727007512517	0.4897995728068496	-0.9804917235494859	1.1261476230634275	1.35544575014571	0.9361836268091551	-0.18037446064830712	0.20968393722489168	-0.4648589077352132	0.7949697847889695
ENSMUSG00000024553	1.2338851829606556	2.1612811034074224	1.4281304294931072	2.4410398083594105	0.027865090250244598	0.6894294445874423	0.7650771410549053	2.4277751035234987	1.4773983257678414	2.5627762313494444
ENSMUSG00000032018	0.16805133332613859	0.9039859302273625	-0.7099990073544894	0.14468460125638816	-0.23900157168540823	0.9725013064613314	-0.20502272391616078	0.5220789116907695	-0.2060474263717452	0.3055438714717665
ENSMUSG00000108795	0.21453493703938117	0.18454883047883014	0.6800231378900158	0.5083969213923668	1.0584580463509274	-0.009029994849373495	-0.3926453590707601	-0.45131261788522603	0.7668224461019302	0.04921247700935868
ENSMUSG00000024851	1.3796178300003432	1.4839484526436846	1.0368415829134376	1.4577220785249667	0.8038152856921099	0.7544244628810025	0.6973426945201492	0.9313352067244519	1.5069499179791606	1.561410441073311
