"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"ENSMUSG00000079800"	10.2052939058623	-0.0916077824450163	0.289777794825708	0.371425900135667	0.648218137206887
"ENSMUSG00000095092"	3.67469121088778	0.09323902799938	0.3064991874762	0.143171924871172	NA
"ENSMUSG00000079192"	2.14240584887368	0.0340827048786243	0.28999714610397	0.50727526664429	NA
"ENSMUSG00000095672"	5.81824524626091	0.0661373172876077	0.290429769113387	0.399228628667332	NA
"ENSMUSG00000079190"	295.625324574863	1.3980988256551	0.189214994988425	8.38911121595871e-15	6.99964028386434e-13
"ENSMUSG00000079808"	81.0884481068657	1.10369418161914	0.316121596617763	2.93868262802279e-05	0.000424452718712568
"ENSMUSG00000079222"	3.41551915263977	0.0609630781992374	0.293465539820846	0.349844123259556	NA
"ENSMUSG00000095500"	13.1000718140973	0.265187885635154	0.422201885664193	0.0581283554208413	0.210998051917636
"ENSMUSG00000062783"	6.46718348280217	6.21964753378667e-05	0.278065469315671	0.998918488934244	NA
"ENSMUSG00000095570"	2.46188248862264	0.000832365765391361	0.287665377451217	0.988067196537779	NA
"ENSMUSG00000091585"	9.4908121175208	0.206262043276502	0.374092612889571	0.0671198499583124	0.231862697554817
"ENSMUSG00000095475"	2.47222072259785	0.0762531449456614	0.304095278706979	0.0473312471737219	NA
"ENSMUSG00000095041"	723.724894127091	0.0879893004824601	0.115025161893465	0.405147092231229	0.678064118970499
"ENSMUSG00000051951"	157.822376901748	0.629385502349576	0.253360813083014	0.00157182800176697	0.0129107245987627
"ENSMUSG00000102343"	9.25557619473265	0.00445579246524728	0.272726105471694	0.964475107381272	0.98778458435097
"ENSMUSG00000025900"	51.4745731070165	-0.137075049369432	0.242738225477892	0.368437473118365	0.645449202174838
"ENSMUSG00000025902"	4.0937495183002	0.0957396824329262	0.305782856601274	0.177855555513315	NA
"ENSMUSG00000033845"	1482.98628808456	0.16420990228278	0.11969463019545	0.129817718876072	0.355328111937369
"ENSMUSG00000025903"	134.115854766959	0.00260316887738802	0.179586165888882	0.986685048882381	0.995116832062801
"ENSMUSG00000104217"	1247.27733634213	0.0706045587894233	0.110503936540387	0.501996003301519	0.75416265433129
"ENSMUSG00000033813"	1291.56502546256	0.0643865160506971	0.111457019190789	0.532037614591163	0.771188006476314
"ENSMUSG00000002459"	736.851088897666	0.579419555618282	0.125156837847064	6.91864272562238e-07	1.52849177161256e-05
"ENSMUSG00000033793"	2741.50475844445	0.0873794718837412	0.094284861174322	0.326088942975269	0.605258168835347
"ENSMUSG00000025905"	21.7651864395952	-0.0652359521426338	0.260790960682063	0.608897449238364	0.817774301256795
"ENSMUSG00000090031"	29.6091157595645	-0.101951494501963	0.259342959422704	0.463204370509545	0.726081656848172
"ENSMUSG00000025907"	1642.80900476903	-0.172556441385825	0.102675493208753	0.0726773990591224	0.24427183471544
"ENSMUSG00000087247"	46.0880870773241	0.0184189508360476	0.226917628917963	0.897688508984948	0.96299708544305
"ENSMUSG00000103845"	9.90940113372447	-0.0767190676476254	0.284716849623619	0.445700120388136	0.712794371012105
"ENSMUSG00000033740"	54.0676012702881	-0.957161590139411	0.368635141301253	0.00066131263727846	0.00622866295011313
"ENSMUSG00000102135"	9.98287130163849	-0.103228060590526	0.29500739840549	0.317197673070217	0.595763229788509
"ENSMUSG00000051285"	6446.6348238805	-0.435348991393513	0.0988031661528697	3.32604567172761e-06	6.17021026940245e-05
"ENSMUSG00000097797"	415.403208554543	-0.165987638128089	0.13574058626356	0.171739969323797	0.42116791656864
"ENSMUSG00000103067"	36.3716009525159	-1.50484342990622	0.499248357350697	0.000110401239630663	0.00134088546901453
"ENSMUSG00000025909"	2723.16002989241	-0.0081038763525429	0.0938999093887388	0.932920468075798	0.975840249376777
"ENSMUSG00000025911"	59.6058563178874	-0.0893871852390394	0.221489257448059	0.547834576840105	0.780797807051076
"ENSMUSG00000079671"	10.0835108968974	-0.103253436066307	0.295187611027424	0.314826674202834	0.593118641937056
"ENSMUSG00000025912"	643.672024446486	-0.54966320554025	0.142979126201613	2.36632321213266e-05	0.000350822083491304
"ENSMUSG00000045210"	280.073841073802	0.076964231839199	0.148310251973299	0.54755111058691	0.780578030933446
"ENSMUSG00000097893"	47.3562741324968	0.0756700970205754	0.232085707755268	0.604142967162362	0.814771992246175
"ENSMUSG00000025915"	106.149103737198	0.920913679721062	0.253690531540383	2.42462898980895e-05	0.000357692594146239
"ENSMUSG00000098234"	885.387411892246	0.222990672215203	0.128297121131548	0.0528708129649755	0.197634822625275
