	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000031584	-0.06535964	-0.014545559	0.14384682	0.00913208	0.1278052	0.0838621	0.116820104	0.11145302	0.01736357	-0.095605545
ENSMUSG00000036533	-0.07070909	0.04340729	-0.07483888	-0.07665576	0.17383292	0.7114752	0.14527917	0.34631622	0.02404624	-0.36889687
ENSMUSG00000037709	-0.013655496	-0.021159813	-0.22456813	-0.038678773	-0.1579009	-0.03944546	-0.086920805	0.043554246	0.004047987	-0.0071826177
ENSMUSG00000063904	-0.041410275	-0.008462311	0.65419936	0.049421296	0.0105786305	0.26324922	0.049822588	0.098543614	0.022163795	0.07407694
ENSMUSG00000031066	0.13149072	-0.08604524	0.78656167	0.30658853	0.15928967	0.21764544	-0.38161257	-0.06465184	-0.11987903	0.14489318
ENSMUSG00000035021	-0.08518966	-0.0008942137	-0.21156164	0.0063953693	0.040475365	-0.25986463	0.2539856	-0.066682205	-0.010185822	0.06905509
ENSMUSG00000000560	0.016765486	0.050055936	-0.29403126	-0.22372524	-0.1879623	0.21449037	-0.12406851	0.3099624	-0.0011670153	-0.38845775
ENSMUSG00000097462	-0.036582176	-0.004415828	-0.21634924	-0.06326798	-0.015221089	0.15273722	0.04223927	0.19286346	0.025344646	-0.20284598
ENSMUSG00000029769	-0.07641326	0.017055556	0.098488934	-0.028444912	0.059803396	0.40602535	0.09046466	0.22108833	0.039755646	-0.20822887
ENSMUSG00000052353	-0.023790142	0.06410117	-0.06952906	-0.10275107	-0.064295106	0.11283466	-0.06592927	0.19556674	0.0057435897	-0.3196411
ENSMUSG00000032115	-0.08832818	-0.0047230185	0.5515435	0.14115468	0.0007778774	0.4853545	0.091648705	0.20759235	0.024410836	0.045605946
ENSMUSG00000097113	-0.076011084	-0.00029726644	0.2145536	-0.03210497	0.20506996	-0.08672728	0.15202653	0.12654226	0.009343853	0.016140783
ENSMUSG00000029221	0.02030311	-0.00048466618	0.33073562	-0.0006242967	-0.054044116	0.6211645	0.04865609	0.10479117	0.028316477	0.010326235
ENSMUSG00000085566	-0.034377586	0.00022473566	-0.09191538	-0.020567797	-0.1001119	0.60583866	0.043053675	0.22238013	0.027336903	-0.10064168
ENSMUSG00000032411	0.09917049	0.0015779539	0.3298172	0.0896537	0.020216469	0.40225312	0.037388925	0.20913316	0.024850886	0.03599433
ENSMUSG00000117063	0.016081518	0.035684638	0.1828209	-0.088588014	0.07403181	0.43895736	-0.2862106	0.26606995	-0.018077634	-0.313968
ENSMUSG00000004393	-0.013315621	0.009763075	0.81486416	0.20464383	0.08837022	0.33227307	0.0626448	0.057755426	0.014402283	0.10171098
ENSMUSG00000021098	-0.057698686	0.085088	-0.18702991	-0.094403684	0.10364031	0.24262099	0.26167753	0.27013573	-0.005050001	-0.5067417
ENSMUSG00000036401	-0.025128307	0.0031366523	-0.1585462	-0.01656979	-0.03662333	-0.37030497	-0.02828004	-0.13823277	0.019662185	0.078450404
ENSMUSG00000037833	-0.007801798	-0.028553033	-0.04770803	-0.0077744084	0.059020035	-0.042577416	-0.0058032703	0.061443713	0.025171915	0.05132889
ENSMUSG00000018040	-0.06442091	0.0044668755	0.6024259	0.20909567	0.045924943	0.26433158	0.06406139	0.08772467	0.019950094	0.094281025
ENSMUSG00000035142	0.016912216	0.021567006	-0.031692192	0.009297581	-0.044819087	0.41421056	-0.073438995	-0.024662986	0.017867865	0.12640984
ENSMUSG00000029913	0.023400342	-0.0024988088	0.2095315	-0.017517073	0.05928315	0.51390946	0.03512344	0.19356841	0.038422376	-0.082440734
ENSMUSG00000050663	0.05125347	0.09697029	-0.21624365	-0.20235914	-0.07670155	0.086180076	-0.025103971	0.2845909	0.02153517	-0.5403046
ENSMUSG00000069833	-0.036355183	0.0077507743	0.21622734	-0.017635252	0.052003596	0.47428063	0.02830663	0.25677124	0.026725281	-0.18209589
ENSMUSG00000054863	-0.049119882	0.083838016	-0.043057997	-0.13962114	-0.016642878	0.16882823	0.02224134	0.23680612	0.036986224	-0.45974937
ENSMUSG00000041272	-0.015061361	0.03921544	-0.2666718	-0.17069687	-0.08121476	0.19833498	-0.041645467	0.3265871	0.02436209	-0.38533062
ENSMUSG00000039329	-0.07277124	0.014036933	0.25563884	0.0071093193	0.65559447	0.4263173	0.102791905	0.30769125	0.045848005	-0.015701277
ENSMUSG00000097111	0.028904242	-0.008081819	0.35632473	0.16138645	-0.07322659	-0.12871252	-0.025648098	-0.052996777	0.005247536	0.07916615
ENSMUSG00000032715	-0.030271066	0.0062931716	0.0037746115	-0.0011009399	0.25187564	0.46978068	0.10195704	0.17816357	-0.004626359	0.010787237
ENSMUSG00000031736	-0.056244474	0.072384216	-0.18831654	-0.14224723	-0.05061409	0.4860347	0.058003962	0.3368515	0.043891303	-0.44753167
ENSMUSG00000029004	0.082799435	0.005639552	0.25380343	0.013243678	0.08506508	0.66735405	0.061336897	0.1460404	0.050403833	0.06057284
ENSMUSG00000074001	0.13640764	0.06040691	-0.44869167	-0.15470174	-0.021908918	0.07311755	0.23717684	0.18355815	0.07106471	-0.30977267
ENSMUSG00000115704	0.035901546	-0.021127272	-0.19871794	-0.041175097	-0.04920113	-0.37514228	-0.13208824	-0.12409772	0.029659966	0.124476776
ENSMUSG00000061175	0.002187692	0.0023135946	0.30271724	-0.014955372	0.016580118	0.49404097	0.03524831	0.19512926	0.03383002	-0.025409784
