	H2AK119ub1 mean gb	H2AK119ub1 mean promoter	H3K27me3 mean gb	H3K27me3 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	RING1B mean gb	RING1B mean promoter	SUZ12 mean gb	SUZ12 mean promoter
ENSMUSG00000022749	0.044248544	0.013727578	0.26510966	0.0070806113	-0.0060148146	0.4926432	0.011846786	0.0054319547	0.02233148	0.11264321
ENSMUSG00000017195	-0.022299774	0.029212845	-0.32832164	-0.05145361	-0.062782176	0.33256543	0.1273413	0.31885234	0.042098645	-0.17562486
ENSMUSG00000058454	-0.03582419	0.001098936	0.33236977	0.015323355	0.21402472	0.21358413	0.048647407	0.0477245	0.036369707	0.06420526
ENSMUSG00000025730	-0.05191546	0.0038548426	0.4199943	-0.0015659417	-0.0051128776	0.53693044	0.06344279	0.114593565	0.02771689	-0.004013386
ENSMUSG00000004994	-0.042249538	0.0004373947	0.3916139	0.011769077	-0.04572998	0.30361924	0.048970964	0.1294182	0.021176098	0.06685296
ENSMUSG00000005417	-0.029925482	0.026530342	0.34476882	-0.02528039	-0.0035808962	0.19527097	0.029040234	0.16821618	0.015816007	-0.21738839
ENSMUSG00000039059	0.27311748	0.08086536	-0.3973602	-0.110966	0.18380201	0.40719292	0.3416599	0.24365813	-0.15492684	-0.29353884
ENSMUSG00000032489	-0.047437124	-0.004036402	-0.17074968	0.0027584725	-0.040395293	0.5516709	0.027392542	0.16186146	0.034541592	-0.07068288
ENSMUSG00000091148	-0.0022111167	0.0014026471	-0.25907138	-0.03156895	-0.09709919	-0.39901376	0.07482537	-0.14866845	0.035309836	0.0824292
ENSMUSG00000025860	0.086389475	-0.06203283	0.7982415	0.20225038	0.17556462	-0.13160297	-0.28396887	-0.24009831	-0.09654765	0.12464228
ENSMUSG00000033671	0.041779753	0.0019846922	0.34238547	-0.027696474	-0.08534859	0.5851093	0.010049507	0.150746	0.0011055105	-0.048861314
ENSMUSG00000071042	0.009796275	0.002903071	-0.17132206	-0.039194025	-0.061367694	-0.39612582	-0.03659434	-0.1424223	0.028379474	0.101877205
ENSMUSG00000026925	-0.054638002	-0.003105025	0.5787249	0.0559683	0.0053045023	0.2588394	0.015013242	0.045072913	0.0121356975	0.046311207
ENSMUSG00000055835	-0.06869393	0.006977752	0.23262791	0.024336847	0.1090046	0.42636868	0.101998806	0.15794732	0.024371665	0.057615303
ENSMUSG00000031257	0.04083462	-0.03866322	0.010495866	0.118856706	-0.084514916	-0.27144477	-0.34389108	-0.36741358	-0.027321363	0.0825027
ENSMUSG00000022390	-0.07507902	0.010345517	0.27910036	-0.022663519	0.0244806	0.4755298	0.05202997	0.1786824	0.029524047	-0.18002388
ENSMUSG00000053178	0.02862183	0.010334816	0.2178564	-0.0034485878	0.048977934	0.45877612	-0.02443579	0.043877557	0.027462354	0.058393847
